side_effect,comment,drug
application site erythema,Please consider Non24 disorder. It's quite common for ADHD / ASD to have Delayed Sleep Phase Disorder or even Non24. That's totally fine! You simply should restructure your life according to your biorhythm / genetic fixed needs.,clonidine
application site erythema,"Just here to say certain co-morbidities make ADHD stimulants a terrible idea.  Most common presentation of this is making the symptoms of the non-ADHD disorder worse, even dangerous.

Good luck!",clonidine
application site erythema,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.,clonidine
hypotension,"too little sleep can increase insulin resistance. additionally, it also results in a significant loss of the benefits of insulin. too little sleep can have a negative impact on lipid levels. also a regular lack of sleep can lead to high blood pressure (hypertension",clonidine
hypotension,"I was diagnosed with bipolar and narcolepsy before I was correctly diagnosed with ADHD (which more accurately matched the symptoms they called bipolar) and autism (turns out if I avoid sensory overstimulation I don't have autistic shutdowns, aka the naps I would have to take during the day that they thought were narcolepsy despite having difficulty sleeping).",clonidine
hypotension,"For me I had dosage problems with blood pressure meds even with small doses. I’d wake up a few hours after I took them with my heart racing because my body was responding to my blood pressure lowering.

My psych who specializes in adhd treatment swears by blood pressure meds for treatment though.",clonidine
hypotension,Also known as Vistaril. I was given this for crippling anxiety a few years ago. I could not tolerate benzos so this is what worked for me. It is an antihistamine.,clonidine
hypotension,"My therapist told me about the hypo arousal and hyper arousal that our brain experiences (similar to children with ptsd) so he told me no gaming, no phone, no bright lights an hour before bed. It helps a lot",clonidine
irritability,"Tbh you're taking medication for a reason, any foreign drug has influence dependant on a number of variables. We're trying to be healthy and happy, an occasional drink is ok but getting drunk can be problematic",vyvanse
irritability,Might just be dehydration? Even if you're not on meds and dehydrated that alone can cause nausea. Drink a ton of water throughout the day or an electrolyte type drink too.,vyvanse
irritability,"Agree with everything here but thought I’d add my reactions to Vyvanse. Brand name, 50mg, 4-5hrs duration with terrible crash with extreme vertigo on comedown. Eat high protein lots of water, manual labour for work. 5mg dex booster at 4hr and 7hr mark. Resolved the moodiness and vertigo of my crash.",vyvanse
irritability,"Came here to say this. Alcohol is a depressant and Vyvanse a Stimulant, basically opposite effects. I haven’t drank on Vyvanse but cocaine? Absolutely. I just never felt the alcohol as much until it was too late. BAC higher than I felt it in reality.",vyvanse
irritability,"If I’m working and the mid-day siesta time is upon me (usually around 4 hours in) and a nap is not an option, I’ll down an energy drink or coffee drink. It throws fuel on the fire.",vyvanse
dizziness,"Tbh you're taking medication for a reason, any foreign drug has influence dependant on a number of variables. We're trying to be healthy and happy, an occasional drink is ok but getting drunk can be problematic",vyvanse
dizziness,Might just be dehydration? Even if you're not on meds and dehydrated that alone can cause nausea. Drink a ton of water throughout the day or an electrolyte type drink too.,vyvanse
dizziness,"Agree with everything here but thought I’d add my reactions to Vyvanse. Brand name, 50mg, 4-5hrs duration with terrible crash with extreme vertigo on comedown. Eat high protein lots of water, manual labour for work. 5mg dex booster at 4hr and 7hr mark. Resolved the moodiness and vertigo of my crash.",vyvanse
dizziness,"If I’m working and the mid-day siesta time is upon me (usually around 4 hours in) and a nap is not an option, I’ll down an energy drink or coffee drink. It throws fuel on the fire.",vyvanse
dizziness,"I don’t particularly like drinking alcohol when medicated, but it’s never been uncomfortable or led to any issues. I usually have a drink every two hours or so when medicated, so 3 drinks over an evening.

Heavy drinking where you drink continuously is another story. Vyvanse will mask the alcohol effect until you’re suddenly stupendously drunk. That’s the danger, not much else.",vyvanse
dyspnoea,"Tbh you're taking medication for a reason, any foreign drug has influence dependant on a number of variables. We're trying to be healthy and happy, an occasional drink is ok but getting drunk can be problematic",vyvanse
dyspnoea,Might just be dehydration? Even if you're not on meds and dehydrated that alone can cause nausea. Drink a ton of water throughout the day or an electrolyte type drink too.,vyvanse
dyspnoea,"Agree with everything here but thought I’d add my reactions to Vyvanse. Brand name, 50mg, 4-5hrs duration with terrible crash with extreme vertigo on comedown. Eat high protein lots of water, manual labour for work. 5mg dex booster at 4hr and 7hr mark. Resolved the moodiness and vertigo of my crash.",vyvanse
dyspnoea,"If I’m working and the mid-day siesta time is upon me (usually around 4 hours in) and a nap is not an option, I’ll down an energy drink or coffee drink. It throws fuel on the fire.",vyvanse
dyspnoea,Good for you i went through the mill of anti depressants but also anto psychotic medication for it. When I am badly inattentive 9/9 and 6/9 hyperactive with ADHD i had to wait for meds lisdex. What are you on? And are you feeling better?,vyvanse
application site erythema,"Tbh you're taking medication for a reason, any foreign drug has influence dependant on a number of variables. We're trying to be healthy and happy, an occasional drink is ok but getting drunk can be problematic",vyvanse
application site erythema,"Agree with everything here but thought I’d add my reactions to Vyvanse. Brand name, 50mg, 4-5hrs duration with terrible crash with extreme vertigo on comedown. Eat high protein lots of water, manual labour for work. 5mg dex booster at 4hr and 7hr mark. Resolved the moodiness and vertigo of my crash.",vyvanse
application site erythema,"If I’m working and the mid-day siesta time is upon me (usually around 4 hours in) and a nap is not an option, I’ll down an energy drink or coffee drink. It throws fuel on the fire.",vyvanse
application site erythema,Might just be dehydration? Even if you're not on meds and dehydrated that alone can cause nausea. Drink a ton of water throughout the day or an electrolyte type drink too.,vyvanse
application site erythema,"I don’t particularly like drinking alcohol when medicated, but it’s never been uncomfortable or led to any issues. I usually have a drink every two hours or so when medicated, so 3 drinks over an evening.

Heavy drinking where you drink continuously is another story. Vyvanse will mask the alcohol effect until you’re suddenly stupendously drunk. That’s the danger, not much else.",vyvanse
hypotension,"Tbh you're taking medication for a reason, any foreign drug has influence dependant on a number of variables. We're trying to be healthy and happy, an occasional drink is ok but getting drunk can be problematic",vyvanse
hypotension,Might just be dehydration? Even if you're not on meds and dehydrated that alone can cause nausea. Drink a ton of water throughout the day or an electrolyte type drink too.,vyvanse
hypotension,"Agree with everything here but thought I’d add my reactions to Vyvanse. Brand name, 50mg, 4-5hrs duration with terrible crash with extreme vertigo on comedown. Eat high protein lots of water, manual labour for work. 5mg dex booster at 4hr and 7hr mark. Resolved the moodiness and vertigo of my crash.",vyvanse
hypotension,"If I’m working and the mid-day siesta time is upon me (usually around 4 hours in) and a nap is not an option, I’ll down an energy drink or coffee drink. It throws fuel on the fire.",vyvanse
hypotension,Good for you i went through the mill of anti depressants but also anto psychotic medication for it. When I am badly inattentive 9/9 and 6/9 hyperactive with ADHD i had to wait for meds lisdex. What are you on? And are you feeling better?,vyvanse
irritability,"""I have been taking Qelbree for a week and a half, and I have experienced bipolar symptoms, constant anxiety attacks, random episodes of crying, constant and persistent suicidal thoughts, constant feelings of nausea, and extreme irritability. I also have insomnia. None of these symptoms occurred before I started on Qelbree. Please don’t take this. It turned my life into a living hell.""",qelbree
irritability,"""My 14-year-old son tried Qelbree, and it was a nightmare. He was tired, irritable, and constipated. He developed a dry cough, dry mouth, and a red rash on his face, as well as nosebleeds. It also did not help his ADHD symptoms.""",qelbree
irritability,"No personal or anecdotal experience, no knowledge of the effects of withdrawal in children, and not a doctor or pediatrician - but I've been on Qelbree's side effect webpage to look at the most common side effects in individuals aged 6-17 and individuals aged 18+. As you can see, headaches and migraines don't make the common side effect list for kids: https://www.qelbreehcp.com/side-effects",qelbree
irritability,"""Please take the black box warnings on this drug seriously. Suicidality side effects are coming back at a higher rate than any other ADHD drug within the FDA AERs database. This drug has mediocre efficacy data, and the risks are very real.""",qelbree
irritability,"I already take a fiber supplement because I am on 8mg Suboxone twice a day so I’m familiar with the constipation. But I drink deathwish coffee twice a day, sometimes sipping on it all day long. Would the caffeine have the adverse effect while on Q?",qelbree
dizziness,"""I have been taking Qelbree for a week and a half, and I have experienced bipolar symptoms, constant anxiety attacks, random episodes of crying, constant and persistent suicidal thoughts, constant feelings of nausea, and extreme irritability. I also have insomnia. None of these symptoms occurred before I started on Qelbree. Please don’t take this. It turned my life into a living hell.""",qelbree
dizziness,"""My 14-year-old son tried Qelbree, and it was a nightmare. He was tired, irritable, and constipated. He developed a dry cough, dry mouth, and a red rash on his face, as well as nosebleeds. It also did not help his ADHD symptoms.""",qelbree
dizziness,"i had the same experience as the above comment and i sleep pretty well now. it is harder to fall asleep than not being on it, but i can bang out 8 hrs of sleep no problem.",qelbree
dizziness,"""Please take the black box warnings on this drug seriously. Suicidality side effects are coming back at a higher rate than any other ADHD drug within the FDA AERs database. This drug has mediocre efficacy data, and the risks are very real.""",qelbree
dizziness,"I already take a fiber supplement because I am on 8mg Suboxone twice a day so I’m familiar with the constipation. But I drink deathwish coffee twice a day, sometimes sipping on it all day long. Would the caffeine have the adverse effect while on Q?",qelbree
dyspnoea,"""I have been taking Qelbree for a week and a half, and I have experienced bipolar symptoms, constant anxiety attacks, random episodes of crying, constant and persistent suicidal thoughts, constant feelings of nausea, and extreme irritability. I also have insomnia. None of these symptoms occurred before I started on Qelbree. Please don’t take this. It turned my life into a living hell.""",qelbree
dyspnoea,"""My 14-year-old son tried Qelbree, and it was a nightmare. He was tired, irritable, and constipated. He developed a dry cough, dry mouth, and a red rash on his face, as well as nosebleeds. It also did not help his ADHD symptoms.""",qelbree
dyspnoea,"I already take a fiber supplement because I am on 8mg Suboxone twice a day so I’m familiar with the constipation. But I drink deathwish coffee twice a day, sometimes sipping on it all day long. Would the caffeine have the adverse effect while on Q?",qelbree
dyspnoea,"No personal or anecdotal experience, no knowledge of the effects of withdrawal in children, and not a doctor or pediatrician - but I've been on Qelbree's side effect webpage to look at the most common side effects in individuals aged 6-17 and individuals aged 18+. As you can see, headaches and migraines don't make the common side effect list for kids: https://www.qelbreehcp.com/side-effects",qelbree
dyspnoea,"i had the same experience as the above comment and i sleep pretty well now. it is harder to fall asleep than not being on it, but i can bang out 8 hrs of sleep no problem.",qelbree
application site erythema,"""My 14-year-old son tried Qelbree, and it was a nightmare. He was tired, irritable, and constipated. He developed a dry cough, dry mouth, and a red rash on his face, as well as nosebleeds. It also did not help his ADHD symptoms.""",qelbree
application site erythema,I’ve read Prozac & Zoloft are similar & both activating than the other SSRI’s. U think being a nymph came from the lower Dopamine in your system with the ADD or just always sexual??,qelbree
application site erythema,"No personal or anecdotal experience, no knowledge of the effects of withdrawal in children, and not a doctor or pediatrician - but I've been on Qelbree's side effect webpage to look at the most common side effects in individuals aged 6-17 and individuals aged 18+. As you can see, headaches and migraines don't make the common side effect list for kids: https://www.qelbreehcp.com/side-effects",qelbree
application site erythema,"""Please take the black box warnings on this drug seriously. Suicidality side effects are coming back at a higher rate than any other ADHD drug within the FDA AERs database. This drug has mediocre efficacy data, and the risks are very real.""",qelbree
application site erythema,"Sorry to hear about the anxiety. My dr also prescribed me Buspar, an anti anxiety med that unlike Qelbree I had no side effects with and helps take the edge off. Might be worth contacting your dr and asking if they recommend something to supplement for the anxiety even if it’s just during the adjustment period.",qelbree
hypotension,"""My 14-year-old son tried Qelbree, and it was a nightmare. He was tired, irritable, and constipated. He developed a dry cough, dry mouth, and a red rash on his face, as well as nosebleeds. It also did not help his ADHD symptoms.""",qelbree
hypotension,"""I have been taking Qelbree for a week and a half, and I have experienced bipolar symptoms, constant anxiety attacks, random episodes of crying, constant and persistent suicidal thoughts, constant feelings of nausea, and extreme irritability. I also have insomnia. None of these symptoms occurred before I started on Qelbree. Please don’t take this. It turned my life into a living hell.""",qelbree
hypotension,"""Please take the black box warnings on this drug seriously. Suicidality side effects are coming back at a higher rate than any other ADHD drug within the FDA AERs database. This drug has mediocre efficacy data, and the risks are very real.""",qelbree
hypotension,"I already take a fiber supplement because I am on 8mg Suboxone twice a day so I’m familiar with the constipation. But I drink deathwish coffee twice a day, sometimes sipping on it all day long. Would the caffeine have the adverse effect while on Q?",qelbree
hypotension,"No personal or anecdotal experience, no knowledge of the effects of withdrawal in children, and not a doctor or pediatrician - but I've been on Qelbree's side effect webpage to look at the most common side effects in individuals aged 6-17 and individuals aged 18+. As you can see, headaches and migraines don't make the common side effect list for kids: https://www.qelbreehcp.com/side-effects",qelbree
irritability,"""I started my son on this medicine on Friday. He is doing well. No emotional breakdowns, no crying. The only issue I am having is he is falling asleep around noon every day. He hasn't had a nap since he was 16 months old. He is 7, going on 8. I can't imagine his teacher will be all that amused when he goes to sleep during class tomorrow.""",kapvay
irritability,"""I'm a 44-year-old female, was in a car accident. Placed on pain meds for the last year. Had two surgeries, and now I ask the doctor to help me get off pain meds. He prescribed me Kapvay 0.01 mg. It has been a Godsend. It allowed me to sleep and took the edge off my withdrawals... thanks.""",kapvay
irritability,"""My 8-year-old son has been on various stimulants, in addition to regular clonidine, Intuniv, Risperdal, Seroquel, Strattera, and Abilify. My son is extremely impulsive and aggressive towards our family on a daily basis, and I had been thinking that nothing would help our son. Our new psychiatrist recommended Kapvay, and we were very skeptical, as our son was irritable and even more aggressive with regular clonidine. With Kapvay, there has been a SIGNIFICANT decrease in our son's aggressiveness. He is still very obsessive, rude, and verbally defiant. So physically, we rate Kapvay a TEN in decreasing aggression, but we only rated it a seven due to other factors. It is the ONLY medicine that has helped reduce physical aggression for our son.""",kapvay
irritability,"""My 6-year-old tried this after Intuniv failed. It made him constantly tired and irritable, and actually made his impulsiveness worse since he just seemed cranky and emotional all of the time. It also constipated him to the point that he ended up with fissures. It never made a meaningful dent in his ability to concentrate or sit still, and he became more argumentative in school and less willing to comply. I've yet to meet anyone that these work for, but it sure would be nice if there were a non-stimulant that worked. We're on stimulants now and still haven't found a miracle there, either. I will say that it didn't affect his appetite, which was nice.""",kapvay
dizziness,"""I'm a 44-year-old female, was in a car accident. Placed on pain meds for the last year. Had two surgeries, and now I ask the doctor to help me get off pain meds. He prescribed me Kapvay 0.01 mg. It has been a Godsend. It allowed me to sleep and took the edge off my withdrawals... thanks.""",kapvay
dizziness,"""I started my son on this medicine on Friday. He is doing well. No emotional breakdowns, no crying. The only issue I am having is he is falling asleep around noon every day. He hasn't had a nap since he was 16 months old. He is 7, going on 8. I can't imagine his teacher will be all that amused when he goes to sleep during class tomorrow.""",kapvay
dizziness,"""My 8-year-old son has been on various stimulants, in addition to regular clonidine, Intuniv, Risperdal, Seroquel, Strattera, and Abilify. My son is extremely impulsive and aggressive towards our family on a daily basis, and I had been thinking that nothing would help our son. Our new psychiatrist recommended Kapvay, and we were very skeptical, as our son was irritable and even more aggressive with regular clonidine. With Kapvay, there has been a SIGNIFICANT decrease in our son's aggressiveness. He is still very obsessive, rude, and verbally defiant. So physically, we rate Kapvay a TEN in decreasing aggression, but we only rated it a seven due to other factors. It is the ONLY medicine that has helped reduce physical aggression for our son.""",kapvay
dizziness,"""My son is 6 years old and was diagnosed with ADHD, ODD, Asperger's syndrome, and possible bipolar disorder. We have tried so many medications: Ritalin, Adderall, Focalin XR, Risperdal, Seroquel, and regular Clonidine. He is now taking 300 mg of Trazodone, which doesn't help, 15 mg of Abilify, and Kapvay. I've spaced the three medications out, but he still wakes up at 9 am and goes to bed at 3 am. I am at a loss right now because the psychiatrist says he's limited as to what he can put him on, but the Trazodone, I swear, seems to wire him up. He's wide awake as I am writing this post. The Kapvay does make him cranky and irritable during the afternoon. Any advice, please.""",kapvay
dyspnoea,"""I'm a 44-year-old female, was in a car accident. Placed on pain meds for the last year. Had two surgeries, and now I ask the doctor to help me get off pain meds. He prescribed me Kapvay 0.01 mg. It has been a Godsend. It allowed me to sleep and took the edge off my withdrawals... thanks.""",kapvay
dyspnoea,"""I started my son on this medicine on Friday. He is doing well. No emotional breakdowns, no crying. The only issue I am having is he is falling asleep around noon every day. He hasn't had a nap since he was 16 months old. He is 7, going on 8. I can't imagine his teacher will be all that amused when he goes to sleep during class tomorrow.""",kapvay
dyspnoea,"""My 8-year-old son has been on various stimulants, in addition to regular clonidine, Intuniv, Risperdal, Seroquel, Strattera, and Abilify. My son is extremely impulsive and aggressive towards our family on a daily basis, and I had been thinking that nothing would help our son. Our new psychiatrist recommended Kapvay, and we were very skeptical, as our son was irritable and even more aggressive with regular clonidine. With Kapvay, there has been a SIGNIFICANT decrease in our son's aggressiveness. He is still very obsessive, rude, and verbally defiant. So physically, we rate Kapvay a TEN in decreasing aggression, but we only rated it a seven due to other factors. It is the ONLY medicine that has helped reduce physical aggression for our son.""",kapvay
dyspnoea,"""My son is 6 years old and was diagnosed with ADHD, ODD, Asperger's syndrome, and possible bipolar disorder. We have tried so many medications: Ritalin, Adderall, Focalin XR, Risperdal, Seroquel, and regular Clonidine. He is now taking 300 mg of Trazodone, which doesn't help, 15 mg of Abilify, and Kapvay. I've spaced the three medications out, but he still wakes up at 9 am and goes to bed at 3 am. I am at a loss right now because the psychiatrist says he's limited as to what he can put him on, but the Trazodone, I swear, seems to wire him up. He's wide awake as I am writing this post. The Kapvay does make him cranky and irritable during the afternoon. Any advice, please.""",kapvay
hypotension,"""I'm a 44-year-old female, was in a car accident. Placed on pain meds for the last year. Had two surgeries, and now I ask the doctor to help me get off pain meds. He prescribed me Kapvay 0.01 mg. It has been a Godsend. It allowed me to sleep and took the edge off my withdrawals... thanks.""",kapvay
hypotension,"""I started my son on this medicine on Friday. He is doing well. No emotional breakdowns, no crying. The only issue I am having is he is falling asleep around noon every day. He hasn't had a nap since he was 16 months old. He is 7, going on 8. I can't imagine his teacher will be all that amused when he goes to sleep during class tomorrow.""",kapvay
hypotension,"""My 8-year-old son has been on various stimulants, in addition to regular clonidine, Intuniv, Risperdal, Seroquel, Strattera, and Abilify. My son is extremely impulsive and aggressive towards our family on a daily basis, and I had been thinking that nothing would help our son. Our new psychiatrist recommended Kapvay, and we were very skeptical, as our son was irritable and even more aggressive with regular clonidine. With Kapvay, there has been a SIGNIFICANT decrease in our son's aggressiveness. He is still very obsessive, rude, and verbally defiant. So physically, we rate Kapvay a TEN in decreasing aggression, but we only rated it a seven due to other factors. It is the ONLY medicine that has helped reduce physical aggression for our son.""",kapvay
hypotension,"""My son is 6 years old and was diagnosed with ADHD, ODD, Asperger's syndrome, and possible bipolar disorder. We have tried so many medications: Ritalin, Adderall, Focalin XR, Risperdal, Seroquel, and regular Clonidine. He is now taking 300 mg of Trazodone, which doesn't help, 15 mg of Abilify, and Kapvay. I've spaced the three medications out, but he still wakes up at 9 am and goes to bed at 3 am. I am at a loss right now because the psychiatrist says he's limited as to what he can put him on, but the Trazodone, I swear, seems to wire him up. He's wide awake as I am writing this post. The Kapvay does make him cranky and irritable during the afternoon. Any advice, please.""",kapvay
application site erythema,"""I'm a 44-year-old female, was in a car accident. Placed on pain meds for the last year. Had two surgeries, and now I ask the doctor to help me get off pain meds. He prescribed me Kapvay 0.01 mg. It has been a Godsend. It allowed me to sleep and took the edge off my withdrawals... thanks.""",kapvay
application site erythema,"""I started my son on this medicine on Friday. He is doing well. No emotional breakdowns, no crying. The only issue I am having is he is falling asleep around noon every day. He hasn't had a nap since he was 16 months old. He is 7, going on 8. I can't imagine his teacher will be all that amused when he goes to sleep during class tomorrow.""",kapvay
application site erythema,"""My 8-year-old son has been on various stimulants, in addition to regular clonidine, Intuniv, Risperdal, Seroquel, Strattera, and Abilify. My son is extremely impulsive and aggressive towards our family on a daily basis, and I had been thinking that nothing would help our son. Our new psychiatrist recommended Kapvay, and we were very skeptical, as our son was irritable and even more aggressive with regular clonidine. With Kapvay, there has been a SIGNIFICANT decrease in our son's aggressiveness. He is still very obsessive, rude, and verbally defiant. So physically, we rate Kapvay a TEN in decreasing aggression, but we only rated it a seven due to other factors. It is the ONLY medicine that has helped reduce physical aggression for our son.""",kapvay
application site erythema,"""My son is 6 years old and was diagnosed with ADHD, ODD, Asperger's syndrome, and possible bipolar disorder. We have tried so many medications: Ritalin, Adderall, Focalin XR, Risperdal, Seroquel, and regular Clonidine. He is now taking 300 mg of Trazodone, which doesn't help, 15 mg of Abilify, and Kapvay. I've spaced the three medications out, but he still wakes up at 9 am and goes to bed at 3 am. I am at a loss right now because the psychiatrist says he's limited as to what he can put him on, but the Trazodone, I swear, seems to wire him up. He's wide awake as I am writing this post. The Kapvay does make him cranky and irritable during the afternoon. Any advice, please.""",kapvay
irritability,"Symptoms of ADHD cause despressive episodes or depression as a full diagnosis. The chemical imbalance in the brain that goes along with ADHD causes symptoms of depression (unmotivated, lazy, sadness, etc.).",wellbutrin
irritability,"Bupropion is mentioned only once in the CADDRA guidelines, specifically here

> In adults, Bupropion and Desipramine may reduce ADHD symptoms, but with an effect size significantly
lower than psychostimulants.

Which is my point.",wellbutrin
irritability,A lot of times attention is intimately tied with anxiety and depression. Often times even if a doctor suspects that you have ADHD they’ll try anti-depressant/anti-anxiety medication first to see what is the proportion of contributing factors.,wellbutrin
irritability,"That’s infuriating. When I was much younger, adderall caused high blood pressure for me. I switched to vyvanse and increased my cardio fitness & I no longer have that issue in my 30s.",wellbutrin
irritability,"Reading this as I sit here binge eating 🙃 unfortunately, I also have severe body dysmorphia, so I get into binge, purge, restrict cycles constantly. 

Advice on how to stop binge eating?",wellbutrin
dizziness,"Symptoms of ADHD cause despressive episodes or depression as a full diagnosis. The chemical imbalance in the brain that goes along with ADHD causes symptoms of depression (unmotivated, lazy, sadness, etc.).",wellbutrin
dizziness,A lot of times attention is intimately tied with anxiety and depression. Often times even if a doctor suspects that you have ADHD they’ll try anti-depressant/anti-anxiety medication first to see what is the proportion of contributing factors.,wellbutrin
dizziness,"That’s infuriating. When I was much younger, adderall caused high blood pressure for me. I switched to vyvanse and increased my cardio fitness & I no longer have that issue in my 30s.",wellbutrin
dizziness,"Wellbutrin messed with ne too.  Anxiety, night sweats, panic attack was the last straw.  I've been on Adderall for 6 months, 30xr with a 10mg booster.  The only side effect was a headache off and on for the first week.",wellbutrin
dizziness,"Bupropion is mentioned only once in the CADDRA guidelines, specifically here

> In adults, Bupropion and Desipramine may reduce ADHD symptoms, but with an effect size significantly
lower than psychostimulants.

Which is my point.",wellbutrin
dyspnoea,"Symptoms of ADHD cause despressive episodes or depression as a full diagnosis. The chemical imbalance in the brain that goes along with ADHD causes symptoms of depression (unmotivated, lazy, sadness, etc.).",wellbutrin
dyspnoea,"That’s infuriating. When I was much younger, adderall caused high blood pressure for me. I switched to vyvanse and increased my cardio fitness & I no longer have that issue in my 30s.",wellbutrin
dyspnoea,"Bupropion is mentioned only once in the CADDRA guidelines, specifically here

> In adults, Bupropion and Desipramine may reduce ADHD symptoms, but with an effect size significantly
lower than psychostimulants.

Which is my point.",wellbutrin
dyspnoea,"Wellbutrin messed with ne too.  Anxiety, night sweats, panic attack was the last straw.  I've been on Adderall for 6 months, 30xr with a 10mg booster.  The only side effect was a headache off and on for the first week.",wellbutrin
dyspnoea,"Reading this as I sit here binge eating 🙃 unfortunately, I also have severe body dysmorphia, so I get into binge, purge, restrict cycles constantly. 

Advice on how to stop binge eating?",wellbutrin
application site erythema,"That’s infuriating. When I was much younger, adderall caused high blood pressure for me. I switched to vyvanse and increased my cardio fitness & I no longer have that issue in my 30s.",wellbutrin
application site erythema,"Symptoms of ADHD cause despressive episodes or depression as a full diagnosis. The chemical imbalance in the brain that goes along with ADHD causes symptoms of depression (unmotivated, lazy, sadness, etc.).",wellbutrin
application site erythema,"Bupropion is mentioned only once in the CADDRA guidelines, specifically here

> In adults, Bupropion and Desipramine may reduce ADHD symptoms, but with an effect size significantly
lower than psychostimulants.

Which is my point.",wellbutrin
application site erythema,"Wellbutrin messed with ne too.  Anxiety, night sweats, panic attack was the last straw.  I've been on Adderall for 6 months, 30xr with a 10mg booster.  The only side effect was a headache off and on for the first week.",wellbutrin
application site erythema,A lot of times attention is intimately tied with anxiety and depression. Often times even if a doctor suspects that you have ADHD they’ll try anti-depressant/anti-anxiety medication first to see what is the proportion of contributing factors.,wellbutrin
hypotension,"Symptoms of ADHD cause despressive episodes or depression as a full diagnosis. The chemical imbalance in the brain that goes along with ADHD causes symptoms of depression (unmotivated, lazy, sadness, etc.).",wellbutrin
hypotension,"That’s infuriating. When I was much younger, adderall caused high blood pressure for me. I switched to vyvanse and increased my cardio fitness & I no longer have that issue in my 30s.",wellbutrin
hypotension,"Bupropion is mentioned only once in the CADDRA guidelines, specifically here

> In adults, Bupropion and Desipramine may reduce ADHD symptoms, but with an effect size significantly
lower than psychostimulants.

Which is my point.",wellbutrin
hypotension,A lot of times attention is intimately tied with anxiety and depression. Often times even if a doctor suspects that you have ADHD they’ll try anti-depressant/anti-anxiety medication first to see what is the proportion of contributing factors.,wellbutrin
hypotension,"> It's a dopamine re-uptake inhibitor

It's a weak dopamine reuptake inhibitor. For some people with specific liver enzyme issues it doesn't even have DRI properties, but only NRI.

> Adhd Is characterized by dopamine deficits that's why wellbutrin could work. 

ADHD is associated with disruptions in many circuits and different gene variants. Dopamine deficit is not a remotely scientific explanation for this condition.",wellbutrin
