drug,side_effect,comment,score
concerta,dizziness,need help regarding naudea and hunger pangs,6.981812238693237
concerta,dizziness,"First day of 27mg, headache and unable to understand what I’m doing",6.972900986671448
concerta,dizziness,Concerta and Alcohol ,6.971272110939026
concerta,abnormal,Addiction,7.777060449123383
concerta,abnormal,Same!,7.717862367630005
concerta,abnormal,Same 😂,7.717862367630005
concerta,abnormal,Same,7.717862367630005
concerta,abnormal,This.,7.486100077629089
concerta,abnormal,Im on 36,7.470967173576355
concerta,abnormal,apologize,7.279559969902039
concerta,abnormal,Thank you!,7.005458295345306
concerta,abnormal,Thank you!!,7.005458295345306
concerta,abnormal,Hyper-focus on 54mg,6.998937547206879
concerta,suicidal ideation,Loss of social inhibitions?,7.099766910076141
concerta,suicidal ideation,Hyper-focus on 54mg,6.946703493595123
concerta,suicidal ideation,Emotional flattening,6.927260994911194
concerta,suicidal ideation,Chest pain/tightness in the evening,6.855845391750336
concerta,suicidal ideation,Could be reflux/heartburn?,6.852017462253571
concerta,suicidal ideation,Memory loss on concerta,6.83864152431488
concerta,suicidal ideation,3x36 in the morning,6.833883464336395
concerta,suicidal ideation,Concerta and Alcohol ,6.8294729590415955
concerta,suicidal ideation,New to stimulants ,6.820860147476196
concerta,suicidal ideation,Great results but social anxiety?,6.804421305656433
concerta,depression,Addiction,7.882427155971527
concerta,depression,This.,7.454754650592804
concerta,depression,Same!,7.392762780189514
concerta,depression,Same 😂,7.392762780189514
concerta,depression,Same,7.392762780189514
concerta,depression,apologize,7.308302700519562
concerta,depression,Im on 36,7.247314274311066
concerta,depression,Thank you!,7.152268648147583
concerta,depression,Thank you!!,7.152268648147583
concerta,depression,Side effect? ,7.143327057361603
concerta,anxiety,Addiction,8.080382704734802
concerta,anxiety,This.,7.606449902057648
concerta,anxiety,Same!,7.598564505577087
concerta,anxiety,Same 😂,7.598564505577087
concerta,anxiety,Same,7.598564505577087
concerta,anxiety,apologize,7.439319670200348
concerta,anxiety,Im on 36,7.363558650016785
concerta,anxiety,Thank you!,7.1760817766189575
concerta,anxiety,Thank you!!,7.1760817766189575
concerta,anxiety,Side effect? ,7.106113910675049
concerta,aggression,Addiction,8.037890076637268
concerta,aggression,Same!,7.604700565338135
concerta,aggression,Same 😂,7.604700565338135
concerta,aggression,Same,7.604700565338135
concerta,aggression,This.,7.571599006652832
concerta,aggression,apologize,7.415798783302307
concerta,aggression,Im on 36,7.36677211523056
concerta,aggression,Thank you!,7.11552631855011
concerta,aggression,Thank you!!,7.11552631855011
concerta,aggression,Side effect? ,7.058791518211365
concerta,abnormal behaviour,Im on 36,7.278065860271454
concerta,abnormal behaviour,Emotional flattening,7.2739057540893555
concerta,abnormal behaviour,Side effect? ,7.264513432979584
concerta,abnormal behaviour,Hyper-focus on 54mg,7.242964446544647
concerta,abnormal behaviour,Memory loss on concerta,7.208349943161011
concerta,abnormal behaviour,3x36 in the morning,7.161396920681
concerta,abnormal behaviour,Loss of social inhibitions?,7.149912655353546
concerta,abnormal behaviour,Concerta and Alcohol ,7.096506774425507
concerta,abnormal behaviour,Just started out,7.070545554161072
concerta,abnormal behaviour,being wrong,7.067809104919434
concerta,abdominal pain,Emotional flattening,7.282232105731964
concerta,abdominal pain,Hyper-focus on 54mg,7.269512236118317
concerta,abdominal pain,Side effect? ,7.257017552852631
concerta,abdominal pain,3x36 in the morning,7.256549954414368
concerta,abdominal pain,Loss of social inhibitions?,7.201486825942993
concerta,abdominal pain,Memory loss on concerta,7.198944509029388
concerta,abdominal pain,Im on 36,7.164227902889252
concerta,abdominal pain,Concerta and Alcohol ,7.142313778400421
concerta,abdominal pain,Just started out,7.0803157687187195
concerta,abdominal pain,Chest pain/tightness in the evening,7.077067613601685
concerta,decreased appetite,Emotional flattening,7.358192503452301
concerta,decreased appetite,Hyper-focus on 54mg,7.3129189014434814
concerta,decreased appetite,3x36 in the morning,7.263576924800873
concerta,decreased appetite,Loss of social inhibitions?,7.239863991737366
concerta,decreased appetite,Side effect? ,7.238405406475067
concerta,decreased appetite,Memory loss on concerta,7.238001525402069
concerta,decreased appetite,Im on 36,7.1878622174263
concerta,decreased appetite,Concerta and Alcohol ,7.1333271861076355
concerta,decreased appetite,Just started out,7.124578356742859
concerta,decreased appetite,Great results but social anxiety?,7.074365079402924
concerta,disturbance in attention,Emotional flattening,7.267725646495819
concerta,disturbance in attention,Memory loss on concerta,7.198741018772125
concerta,disturbance in attention,Hyper-focus on 54mg,7.183444499969482
concerta,disturbance in attention,Im on 36,7.177026689052582
concerta,disturbance in attention,Loss of social inhibitions?,7.1499404311180115
concerta,disturbance in attention,Side effect? ,7.127690851688385
concerta,disturbance in attention,3x36 in the morning,7.050125420093536
concerta,disturbance in attention,Concerta and Alcohol ,7.021721541881561
concerta,disturbance in attention,Great results but social anxiety?,6.965714395046234
concerta,disturbance in attention,being wrong,6.946654438972473
concerta,irritability,Loss of social inhibitions?,7.200957179069519
concerta,irritability,Chest pain/tightness in the evening,7.038804590702057
concerta,irritability,Emotional flattening,6.984369397163391
concerta,irritability,No side effects from quitting caffeine?,6.962824583053589
concerta,irritability,need help regarding naudea and hunger pangs,6.94707053899765
concerta,irritability,New to stimulants ,6.939148962497711
concerta,irritability,"First day of 27mg, headache and unable to understand what I’m doing",6.937734484672546
concerta,irritability,Hyper-focus on 54mg,6.932460725307465
concerta,irritability,Could be reflux/heartburn?,6.9281498193740845
concerta,irritability,Old AF and on Day One of stimulants ever,6.909792482852936
concerta,hypotension,Loss of social inhibitions?,7.002577841281891
concerta,hypotension,Chest pain/tightness in the evening,6.893616795539856
concerta,hypotension,Could be reflux/heartburn?,6.869724810123444
concerta,hypotension,Emotional flattening,6.856410801410675
concerta,hypotension,Hyper-focus on 54mg,6.833346426486969
concerta,hypotension,"First day of 27mg, headache and unable to understand what I’m doing",6.807843565940857
concerta,hypotension,A magnesium supplement can help with the crash.,6.793610095977783
concerta,hypotension,No side effects from quitting caffeine?,6.792870998382568
concerta,hypotension,New to stimulants ,6.778816342353821
concerta,hypotension,need help regarding naudea and hunger pangs,6.768042325973511
concerta,bradycardia,Loss of social inhibitions?,7.012188196182251
concerta,bradycardia,Hyper-focus on 54mg,7.0039222240448
concerta,bradycardia,Chest pain/tightness in the evening,6.998392939567566
concerta,bradycardia,Emotional flattening,6.9521642327308655
concerta,bradycardia,Could be reflux/heartburn?,6.930335760116577
concerta,bradycardia,Memory loss on concerta,6.891270220279694
concerta,bradycardia,need help regarding naudea and hunger pangs,6.879639625549316
concerta,bradycardia,Great results but social anxiety?,6.857912361621857
concerta,bradycardia,Concerta and Alcohol ,6.840219795703888
concerta,bradycardia,A magnesium supplement can help with the crash.,6.836866319179535
concerta,no adverse event,Side effect? ,0.8469542264938354
concerta,no adverse event,No side effects from quitting caffeine?,0.7969224452972412
concerta,no adverse event,Just crash Anxiety or allergy? ,0.7869727611541748
concerta,no adverse event,Thank you! Strattera was such a disappointment.,0.7691242694854736
concerta,no adverse event,Chest pain/tightness in the evening,0.7666881084442139
concerta,no adverse event,No real effect on me. 36mg daily with 2 monsters.,0.7664563655853271
concerta,no adverse event,"Just started Concerta, bad side effects ? Need advice !",0.7663816809654236
concerta,no adverse event,I saw NO increase***,0.7655577659606934
concerta,no adverse event,Loss of social inhibitions?,0.7618049383163452
concerta,no adverse event,Great results but social anxiety?,0.7588295936584473
concerta,electrocardiogram qt prolonged,Hyper-focus on 54mg,7.174131333827972
concerta,electrocardiogram qt prolonged,Chest pain/tightness in the evening,7.094789624214172
concerta,electrocardiogram qt prolonged,Could be reflux/heartburn?,7.074157118797302
concerta,electrocardiogram qt prolonged,I mean sure. Hmu whenever,7.0650246143341064
concerta,electrocardiogram qt prolonged,Memory loss on concerta,7.064385771751404
concerta,electrocardiogram qt prolonged,What’s the rec’d mg per kg?,7.010227978229523
concerta,electrocardiogram qt prolonged,3x36 in the morning,7.003940999507904
concerta,electrocardiogram qt prolonged,Emotional flattening,6.998832404613495
concerta,electrocardiogram qt prolonged,Loss of social inhibitions?,6.9987799525260925
concerta,electrocardiogram qt prolonged,New to ADHD Meds,6.995883584022522
concerta,toxicity to various agents,Loss of social inhibitions?,7.104969024658203
concerta,toxicity to various agents,Hyper-focus on 54mg,7.028643786907196
concerta,toxicity to various agents,Emotional flattening,7.018685460090637
concerta,toxicity to various agents,Memory loss on concerta,7.007633090019226
concerta,toxicity to various agents,Concerta and Alcohol ,6.941277205944061
concerta,toxicity to various agents,Side effect? ,6.899612128734589
concerta,toxicity to various agents,3x36 in the morning,6.8811057806015015
concerta,toxicity to various agents,Great results but social anxiety?,6.878786146640778
concerta,toxicity to various agents,I'm on 72mg! It's amazing,6.8678096532821655
concerta,toxicity to various agents,Chest pain/tightness in the evening,6.852194607257843
concerta,agitation,Addiction,8.200648367404938
concerta,agitation,Same!,8.111296534538269
concerta,agitation,Same 😂,8.111296534538269
concerta,agitation,Same,8.111296534538269
concerta,agitation,This.,7.859963119029999
concerta,agitation,Im on 36,7.7924023270606995
concerta,agitation,apologize,7.572206079959869
concerta,agitation,Thank you!,7.235758602619171
concerta,agitation,Thank you!!,7.235758602619171
concerta,agitation,Hyper-focus on 54mg,7.223927795886993
concerta,pain,Addiction,7.840023994445801
concerta,pain,This.,7.403381586074829
concerta,pain,Same!,7.391516745090485
concerta,pain,Same 😂,7.391516745090485
concerta,pain,Same,7.391516745090485
concerta,pain,apologize,7.2349467277526855
concerta,pain,Im on 36,7.152715861797333
concerta,pain,Thank you!,6.993292808532715
concerta,pain,Thank you!!,6.993292808532715
concerta,pain,Side effect? ,6.939840257167816
concerta,hypertension,Loss of social inhibitions?,7.09043562412262
concerta,hypertension,Emotional flattening,6.967510640621185
concerta,hypertension,Hyper-focus on 54mg,6.9444122314453125
concerta,hypertension,3x36 in the morning,6.918300986289978
concerta,hypertension,Memory loss on concerta,6.916169762611389
concerta,hypertension,Chest pain/tightness in the evening,6.908888518810272
concerta,hypertension,Concerta and Alcohol ,6.908490180969238
concerta,hypertension,Side effect? ,6.904546082019806
concerta,hypertension,Could be reflux/heartburn?,6.9035369753837585
concerta,hypertension,Great results but social anxiety?,6.793898582458496
concerta,dyspnoea,Loss of social inhibitions?,7.038350343704224
concerta,dyspnoea,Chest pain/tightness in the evening,7.004075407981873
concerta,dyspnoea,Could be reflux/heartburn?,6.903423428535461
concerta,dyspnoea,need help regarding naudea and hunger pangs,6.884265184402466
concerta,dyspnoea,Hyper-focus on 54mg,6.874599277973175
concerta,dyspnoea,"First day of 27mg, headache and unable to understand what I’m doing",6.872828543186188
concerta,dyspnoea,Emotional flattening,6.859666526317596
concerta,dyspnoea,No side effects from quitting caffeine?,6.840471386909485
concerta,dyspnoea,A magnesium supplement can help with the crash.,6.821355164051056
concerta,dyspnoea,New to stimulants ,6.8001222014427185
concerta,chronic kidney disease,Side effect? ,6.8065338134765625
concerta,chronic kidney disease,Memory loss on concerta,6.7037153244018555
concerta,chronic kidney disease,Loss of social inhibitions?,6.700896441936493
concerta,chronic kidney disease,3x36 in the morning,6.696550667285919
concerta,chronic kidney disease,Concerta and Alcohol ,6.684576690196991
concerta,chronic kidney disease,Im on 36,6.672090172767639
concerta,chronic kidney disease,Hyper-focus on 54mg,6.670379638671875
concerta,chronic kidney disease,Emotional flattening,6.649888575077057
concerta,chronic kidney disease,Could be reflux/heartburn?,6.637968122959137
concerta,chronic kidney disease,First time concerta?,6.572080314159393
concerta,diarrhoea,Loss of social inhibitions?,6.403585612773895
concerta,diarrhoea,Chest pain/tightness in the evening,6.3383373618125916
concerta,diarrhoea,Could be reflux/heartburn?,6.327644228935242
concerta,diarrhoea,"First day of 27mg, headache and unable to understand what I’m doing",6.318012773990631
concerta,diarrhoea,No side effects from quitting caffeine?,6.261211097240448
concerta,diarrhoea,need help regarding naudea and hunger pangs,6.248659014701843
concerta,diarrhoea,A magnesium supplement can help with the crash.,6.244868636131287
concerta,diarrhoea,Old AF and on Day One of stimulants ever,6.216117978096008
concerta,diarrhoea,"Concerta has no effect on my alcohol tolerance - anti-depressants, yes.",6.200681030750275
concerta,diarrhoea,Just started and huge headache,6.195095777511597
concerta,renal failure,Loss of social inhibitions?,7.133199095726013
concerta,renal failure,Memory loss on concerta,7.033993422985077
concerta,renal failure,Could be reflux/heartburn?,7.033637225627899
concerta,renal failure,Side effect? ,7.031757116317749
concerta,renal failure,Concerta and Alcohol ,7.027266561985016
concerta,renal failure,Hyper-focus on 54mg,7.0166125893592834
concerta,renal failure,3x36 in the morning,7.015028297901154
concerta,renal failure,Emotional flattening,6.990017950534821
concerta,renal failure,Chest pain/tightness in the evening,6.938651204109192
concerta,renal failure,Im on 36,6.874121904373169
concerta,blood pressure increased,Hyper-focus on 54mg,7.447861194610596
concerta,blood pressure increased,Emotional flattening,7.410845220088959
concerta,blood pressure increased,Side effect? ,7.3182461857795715
concerta,blood pressure increased,Im on 36,7.307383477687836
concerta,blood pressure increased,Memory loss on concerta,7.27731591463089
concerta,blood pressure increased,3x36 in the morning,7.2503821849823
concerta,blood pressure increased,Loss of social inhibitions?,7.242302238941193
concerta,blood pressure increased,Concerta and Alcohol ,7.236912310123444
concerta,blood pressure increased,Just started out,7.226262331008911
concerta,blood pressure increased,Great results but social anxiety?,7.1755805015563965
concerta,acute kidney injury,Im on 36,7.120254933834076
concerta,acute kidney injury,Memory loss on concerta,7.072643995285034
concerta,acute kidney injury,Side effect? ,7.0713149309158325
concerta,acute kidney injury,Hyper-focus on 54mg,7.019693970680237
concerta,acute kidney injury,Loss of social inhibitions?,6.979074001312256
concerta,acute kidney injury,Concerta and Alcohol ,6.9603036642074585
concerta,acute kidney injury,Emotional flattening,6.947060406208038
concerta,acute kidney injury,3x36 in the morning,6.939297914505005
concerta,acute kidney injury,First time concerta?,6.867312729358673
concerta,acute kidney injury,Could be reflux/heartburn?,6.856094539165497
concerta,asthenia,Hyper-focus on 54mg,7.288995087146759
concerta,asthenia,Im on 36,7.213258385658264
concerta,asthenia,Emotional flattening,7.185161113739014
concerta,asthenia,Memory loss on concerta,7.115063846111298
concerta,asthenia,Concerta and Alcohol ,7.096119940280914
concerta,asthenia,Great results but social anxiety?,7.040416717529297
concerta,asthenia,3x36 in the morning,7.0338544845581055
concerta,asthenia,Extremely horny,7.032483637332916
concerta,asthenia,Loss of social inhibitions?,7.024176478385925
concerta,asthenia,Just started out,6.995417892932892
concerta,death,Addiction,7.967085599899292
concerta,death,Same!,7.591388642787933
concerta,death,Same 😂,7.591388642787933
concerta,death,Same,7.591388642787933
concerta,death,This.,7.525628983974457
concerta,death,Im on 36,7.3906227350234985
concerta,death,apologize,7.33251678943634
concerta,death,Thank you!,7.1433627009391785
concerta,death,Thank you!!,7.1433627009391785
concerta,death,Side effect? ,7.00733482837677
concerta,fall,Same!,8.016491293907166
concerta,fall,Same 😂,8.016491293907166
concerta,fall,Same,8.016491293907166
concerta,fall,Addiction,7.921963214874268
concerta,fall,Im on 36,7.778764426708221
concerta,fall,This.,7.717698097229004
concerta,fall,apologize,7.551556587219238
concerta,fall,Thank you!,7.304783821105957
concerta,fall,Thank you!!,7.304783821105957
concerta,fall,yep,7.178048312664032
concerta,suicide,Addiction,7.888127028942108
concerta,suicide,Same!,7.4267624616622925
concerta,suicide,Same 😂,7.4267624616622925
concerta,suicide,Same,7.4267624616622925
concerta,suicide,This.,7.404451668262482
concerta,suicide,apologize,7.256968021392822
concerta,suicide,Im on 36,7.202643573284149
concerta,suicide,Thank you!,7.013114750385284
concerta,suicide,Thank you!!,7.013114750385284
concerta,suicide,Side effect? ,6.946424782276154
concerta,rash,Hyper-focus on 54mg,7.149902939796448
concerta,rash,Emotional flattening,7.099629878997803
concerta,rash,3x36 in the morning,7.088003873825073
concerta,rash,Side effect? ,7.067956805229187
concerta,rash,Loss of social inhibitions?,7.0284271240234375
concerta,rash,Memory loss on concerta,7.017904818058014
concerta,rash,Chest pain/tightness in the evening,7.0120256543159485
concerta,rash,Concerta and Alcohol ,7.004582047462463
concerta,rash,Could be reflux/heartburn?,6.991088628768921
concerta,rash,Extremely horny,6.978473424911499
concerta,weight increased,Im on 36,7.593613266944885
concerta,weight increased,Hyper-focus on 54mg,7.5679784417152405
concerta,weight increased,Emotional flattening,7.478808104991913
concerta,weight increased,3x36 in the morning,7.4650227427482605
concerta,weight increased,Memory loss on concerta,7.458923518657684
concerta,weight increased,Just started out,7.44928252696991
concerta,weight increased,Side effect? ,7.42621922492981
concerta,weight increased,Concerta 36mg,7.334191977977753
concerta,weight increased,Same!,7.313558995723724
concerta,weight increased,Same 😂,7.313558995723724
concerta,malaise,Loss of social inhibitions?,7.020908772945404
concerta,malaise,Hyper-focus on 54mg,6.995685815811157
concerta,malaise,Emotional flattening,6.980643451213837
concerta,malaise,Chest pain/tightness in the evening,6.912640929222107
concerta,malaise,3x36 in the morning,6.883035778999329
concerta,malaise,Concerta and Alcohol ,6.876469850540161
concerta,malaise,Memory loss on concerta,6.864760518074036
concerta,malaise,Side effect? ,6.853027045726776
concerta,malaise,Could be reflux/heartburn?,6.846911609172821
concerta,malaise,Great results but social anxiety?,6.8461520075798035
concerta,migraine,Hyper-focus on 54mg,6.872048377990723
concerta,migraine,Loss of social inhibitions?,6.8264670968055725
concerta,migraine,Emotional flattening,6.802602589130402
concerta,migraine,Chest pain/tightness in the evening,6.793137013912201
concerta,migraine,Concerta and Alcohol ,6.787939131259918
concerta,migraine,Could be reflux/heartburn?,6.779870688915253
concerta,migraine,3x36 in the morning,6.7770965695381165
concerta,migraine,Memory loss on concerta,6.756817579269409
concerta,migraine,Just started and huge headache,6.747444689273834
concerta,migraine,Extremely horny,6.715364515781403
concerta,anger,Addiction,8.080387592315674
concerta,anger,Same!,7.687970221042633
concerta,anger,Same 😂,7.687970221042633
concerta,anger,Same,7.687970221042633
concerta,anger,This.,7.65220445394516
concerta,anger,apologize,7.454024612903595
concerta,anger,Im on 36,7.418871700763702
concerta,anger,Thank you!,7.175006031990051
concerta,anger,Thank you!!,7.175006031990051
concerta,anger,Side effect? ,7.095087349414825
concerta,withdrawal syndrome,Im on 36,7.460135579109192
concerta,withdrawal syndrome,Side effect? ,7.392453372478485
concerta,withdrawal syndrome,Addiction,7.29473352432251
concerta,withdrawal syndrome,Hyper-focus on 54mg,7.294204533100128
concerta,withdrawal syndrome,Same!,7.268758714199066
concerta,withdrawal syndrome,Same 😂,7.268758714199066
concerta,withdrawal syndrome,Same,7.268758714199066
concerta,withdrawal syndrome,Memory loss on concerta,7.252519190311432
concerta,withdrawal syndrome,Emotional flattening,7.243778347969055
concerta,withdrawal syndrome,This.,7.212946951389313
concerta,seizure,Addiction,7.81649786233902
concerta,seizure,Same!,7.611403167247772
concerta,seizure,Same 😂,7.611403167247772
concerta,seizure,Same,7.611403167247772
concerta,seizure,This.,7.444757163524628
concerta,seizure,Im on 36,7.352738857269287
concerta,seizure,apologize,7.260571241378784
concerta,seizure,Thank you!,6.952568411827087
concerta,seizure,Thank you!!,6.952568411827087
concerta,seizure,Side effect? ,6.858796000480652
concerta,application site erythema,Chest pain/tightness in the evening,7.022005975246429
concerta,application site erythema,Could be reflux/heartburn?,7.0171589851379395
concerta,application site erythema,Hyper-focus on 54mg,7.007927358150482
concerta,application site erythema,Loss of social inhibitions?,7.005406618118286
concerta,application site erythema,Emotional flattening,6.968454539775848
concerta,application site erythema,Memory loss on concerta,6.946737051010132
concerta,application site erythema,need help regarding naudea and hunger pangs,6.904617726802826
concerta,application site erythema,HELP! Concerta hallucinations ,6.897117376327515
concerta,application site erythema,Concerta and Alcohol ,6.896506726741791
concerta,application site erythema,3x36 in the morning,6.893188714981079
concerta,condition aggravated,Loss of social inhibitions?,4.3699745535850525
concerta,condition aggravated,Emotional flattening,4.356879472732544
concerta,condition aggravated,Could be reflux/heartburn?,4.3499146699905396
concerta,condition aggravated,New to stimulants ,4.318803012371063
concerta,condition aggravated,HELP! Concerta hallucinations ,4.308222711086273
concerta,condition aggravated,Hyper-focus on 54mg,4.290382087230682
concerta,condition aggravated,A magnesium supplement can help with the crash.,4.286865830421448
concerta,condition aggravated,3x36 in the morning,4.279629290103912
concerta,condition aggravated,Memory loss on concerta,4.275933623313904
concerta,condition aggravated,It could also be burnout.,4.2748143672943115
concerta,weight decreased,Im on 36,7.572567462921143
concerta,weight decreased,Hyper-focus on 54mg,7.546232223510742
concerta,weight decreased,Emotional flattening,7.458386838436127
concerta,weight decreased,3x36 in the morning,7.444409430027008
concerta,weight decreased,Memory loss on concerta,7.438161671161652
concerta,weight decreased,Just started out,7.428733646869659
concerta,weight decreased,Side effect? ,7.406916618347168
concerta,weight decreased,Concerta 36mg,7.312856376171112
concerta,weight decreased,Same!,7.29350620508194
concerta,weight decreased,Same 😂,7.29350620508194
ritalin,drug ineffective,Its bullshit,7.269388914108276
ritalin,drug ineffective,Good idea.,7.253310441970825
ritalin,drug ineffective,mood swings,7.234223544597626
ritalin,drug ineffective,Perfect analogy.,7.216414749622345
ritalin,drug ineffective,People suck,7.215517580509186
ritalin,drug ineffective,excellent advice! Exactly,7.198090076446533
ritalin,drug ineffective,Or depression,7.183540999889374
ritalin,drug ineffective,That's insanity,7.177880525588989
ritalin,drug ineffective,GOOD ADVICE!,7.164684176445007
ritalin,drug ineffective,It’s called addiction,7.1482994556427
ritalin,nausea,Thanks,7.835605084896088
ritalin,nausea,Thanks!,7.835605084896088
ritalin,nausea,Thanks :),7.835605084896088
ritalin,nausea,Real,7.819169998168945
ritalin,nausea,Move,7.737550616264343
ritalin,nausea,\*Save\*,7.729623258113861
ritalin,nausea,Coffee!,7.693759500980377
ritalin,nausea,Absolutely,7.686508655548096
ritalin,nausea,Absolutely.,7.686508655548096
ritalin,nausea, Absolutely,7.686508655548096
ritalin,fatigue,Thanks,7.638986945152283
ritalin,fatigue,Thanks!,7.638986945152283
ritalin,fatigue,Thanks :),7.638986945152283
ritalin,fatigue,Real,7.605502009391785
ritalin,fatigue,\*Save\*,7.54745626449585
ritalin,fatigue,Move,7.530248939990997
ritalin,fatigue,based,7.48906809091568
ritalin,fatigue,Absolutely,7.48722517490387
ritalin,fatigue,Absolutely.,7.48722517490387
ritalin,fatigue, Absolutely,7.48722517490387
ritalin,somnolence,What euphoria?,7.035032868385315
ritalin,somnolence,Asymmetry yay,6.973929405212402
ritalin,somnolence,All stimulants for me,6.956742644309998
ritalin,somnolence,That's not euphoria,6.927322745323181
ritalin,somnolence,It's very high stress,6.906801521778107
ritalin,somnolence,Acne. Dry mouth. Tooth decay. Risk of cardiac issues. Messing up your metabolism. Etc.,6.901195287704468
ritalin,somnolence,Eat and hydrate,6.897174537181854
ritalin,somnolence,Hyper fixating on it,6.888550579547882
ritalin,somnolence,Sounds like depersonalization,6.877271890640259
ritalin,somnolence,"Thanks. 

Nice hyper phase 😘🤪",6.874123930931091
ritalin,headache,Thanks,7.968395531177521
ritalin,headache,Thanks!,7.968395531177521
ritalin,headache,Thanks :),7.968395531177521
ritalin,headache,Real,7.962265193462372
ritalin,headache,Absolutely,7.932593584060669
ritalin,headache,Absolutely.,7.932593584060669
ritalin,headache, Absolutely,7.932593584060669
ritalin,headache,Absolutely!!!,7.932593584060669
ritalin,headache,WRONG!,7.844946980476379
ritalin,headache,Obviously.,7.834568202495575
ritalin,vomiting,Its bullshit,7.519571840763092
ritalin,vomiting,People suck,7.489661633968353
ritalin,vomiting,Oh fun,7.403397858142853
ritalin,vomiting,Good idea.,7.39386373758316
ritalin,vomiting,Hungary,7.377070248126984
ritalin,vomiting,Report asap,7.367906868457794
ritalin,vomiting,That's insanity,7.366598188877106
ritalin,vomiting,excellent advice! Exactly,7.365733325481415
ritalin,vomiting,Or depression,7.3618438839912415
ritalin,vomiting,mood swings,7.359473466873169
ritalin,insomnia,Or depression,7.088667631149292
ritalin,insomnia,mood swings,7.052273213863373
ritalin,insomnia,It's very high stress,7.051677584648132
ritalin,insomnia,Adverse drug reactions too.,7.0425732135772705
