drug,side_effect,comment,score
concerta,insomnia,"Dopaminergic drugs could cause psychosic in people predisposed to psychosis/schizophrenia. You might wanna tell your doctor about this, it could cause future issues, hopefully not, but always better to be safe and healthy",0.5568476915359497
concerta,dizziness,Side effect? ,0.7508240342140198
concerta,dizziness,Addiction,0.6886293292045593
concerta,dizziness,apologize,0.6746499538421631
concerta,dizziness,This.,0.669847309589386
concerta,dizziness,Concerta 36mg,0.6494976878166199
concerta,dizziness,yep,0.6493600606918335
concerta,dizziness,Same!,0.6444799304008484
concerta,dizziness,Same 😂,0.6444799304008484
concerta,dizziness,Same,0.6444799304008484
concerta,dizziness,RIGHT?! 😭,0.6405233144760132
concerta,abnormal,Addiction,8.172730207443237
concerta,abnormal,This.,7.802390217781067
concerta,abnormal,RIGHT?! 😭,7.56104302406311
concerta,abnormal,apologize,7.544398903846741
concerta,abnormal,36mg,7.433826208114624
concerta,abnormal,yep,7.274737000465393
concerta,abnormal,Same!,7.201676309108734
concerta,abnormal,Same 😂,7.201676309108734
concerta,abnormal,Same,7.201676309108734
concerta,abnormal,Forsho,6.99060845375061
concerta,suicidal ideation,Side effect? ,1.2937685251235962
concerta,suicidal ideation,Addiction,1.2741131782531738
concerta,suicidal ideation,Hyper-focus on 54mg,1.2643659710884094
concerta,suicidal ideation,Emotional flattening,1.2492792010307312
concerta,suicidal ideation,Concerta and Alcohol ,1.2470053434371948
concerta,suicidal ideation,Loss of social inhibitions?,1.2286008596420288
concerta,suicidal ideation,apologize,1.2209863662719727
concerta,suicidal ideation,being wrong,1.2135491371154785
concerta,suicidal ideation,This.,1.2004407048225403
concerta,suicidal ideation,Just crash Anxiety or allergy? ,1.1986207365989685
concerta,depression,Addiction,7.94774603843689
concerta,depression,This.,7.544184982776642
concerta,depression,apologize,7.4660215973854065
concerta,depression,RIGHT?! 😭,7.163106918334961
concerta,depression,36mg,7.046319544315338
concerta,depression,yep,6.9983397126197815
concerta,depression,Same!,6.996514618396759
concerta,depression,Same 😂,6.996514618396759
concerta,depression,Same,6.996514618396759
concerta,depression,Side effect? ,6.580429553985596
concerta,anxiety,Addiction,7.41950649023056
concerta,anxiety,This.,7.169797599315643
concerta,anxiety,apologize,7.1500420570373535
concerta,anxiety,RIGHT?! 😭,6.798903703689575
concerta,anxiety,yep,6.709198892116547
concerta,anxiety,Same!,6.662671148777008
concerta,anxiety,Same 😂,6.662671148777008
concerta,anxiety,Same,6.662671148777008
concerta,anxiety,36mg,6.528751730918884
concerta,anxiety,Side effect? ,6.379062533378601
concerta,aggression,Addiction,8.0160613656044
concerta,aggression,This.,7.7406861782073975
concerta,aggression,apologize,7.52930474281311
concerta,aggression,RIGHT?! 😭,7.437631726264954
concerta,aggression,36mg,7.26043027639389
concerta,aggression,yep,7.206035733222961
concerta,aggression,Same!,7.10748827457428
concerta,aggression,Same 😂,7.10748827457428
concerta,aggression,Same,7.10748827457428
concerta,aggression,Forsho,6.923807322978973
concerta,abnormal behaviour,Addiction,6.862991809844971
concerta,abnormal behaviour,This.,6.487940311431885
concerta,abnormal behaviour,apologize,6.400626838207245
concerta,abnormal behaviour,RIGHT?! 😭,6.190584480762482
concerta,abnormal behaviour,36mg,6.151905208826065
concerta,abnormal behaviour,Same!,6.130638539791107
concerta,abnormal behaviour,Same 😂,6.130638539791107
concerta,abnormal behaviour,Same,6.130638539791107
concerta,abnormal behaviour,Side effect? ,6.025548279285431
concerta,abnormal behaviour,yep,5.973902016878128
concerta,abdominal pain,Side effect? ,0.6850442290306091
concerta,abdominal pain,Check your blood pressure it may be high,0.6036049723625183
concerta,abdominal pain,Just crash Anxiety or allergy? ,0.5992407202720642
concerta,abdominal pain,Just started and huge headache,0.5963347554206848
concerta,abdominal pain,Extremely horny,0.5796248316764832
concerta,abdominal pain,Loss of social inhibitions?,0.578096866607666
concerta,abdominal pain,HELP! Concerta hallucinations ,0.5631574988365173
concerta,abdominal pain,apologize,0.555167019367218
concerta,abdominal pain,Concerta not working anymore?,0.5517458319664001
concerta,abdominal pain,1mg per kg of weight,0.5505558848381042
concerta,decreased appetite,Loss of social inhibitions?,1.3175405263900757
concerta,decreased appetite,Extremely horny,1.2532259225845337
concerta,decreased appetite,Hyper-focus on 54mg,1.2373376488685608
concerta,decreased appetite,Memory loss on concerta,1.1936869025230408
concerta,decreased appetite,apologize,1.1935460567474365
concerta,decreased appetite,Addiction,1.1828970313072205
concerta,decreased appetite,Same!,1.1723294854164124
concerta,decreased appetite,Same 😂,1.1723294854164124
concerta,decreased appetite,Same,1.1723294854164124
concerta,decreased appetite,Great results but social anxiety?,1.1712351441383362
concerta,disturbance in attention,Loss of social inhibitions?,0.7700819969177246
concerta,disturbance in attention,Hyper-focus on 54mg,0.7658610343933105
concerta,disturbance in attention,Memory loss on concerta,0.7354815006256104
concerta,disturbance in attention,Emotional flattening,0.7068568468093872
concerta,disturbance in attention,Side effect? ,0.6748411059379578
concerta,disturbance in attention,Great results but social anxiety?,0.6617403030395508
concerta,disturbance in attention,Concerta and Alcohol ,0.6569012999534607
concerta,disturbance in attention,Concerta not working anymore?,0.6547955870628357
concerta,disturbance in attention,Addiction,0.6487221717834473
concerta,disturbance in attention,apologize,0.6471399068832397
concerta,irritability,Extremely horny,0.6639516949653625
concerta,irritability,Emotional flattening,0.6478472948074341
concerta,irritability,"Lucid, less drunk, less impulsive, powerful.",0.6308583617210388
concerta,irritability,Loss of social inhibitions?,0.6181651949882507
concerta,irritability,Concerta not working anymore?,0.6036741733551025
concerta,irritability,Just crash Anxiety or allergy? ,0.6018624305725098
concerta,irritability,56mg always makes me feel incredibly jittery,0.5880476236343384
concerta,irritability,apologize,0.5824215412139893
concerta,irritability,"Protein for breakfast... water, no caffeine and little sugar. Good luckn",0.5799651145935059
concerta,irritability,Side effect? ,0.5757901072502136
concerta,hypotension,Loss of social inhibitions?,0.675756573677063
concerta,hypotension,HELP! Concerta hallucinations ,0.6499087810516357
concerta,hypotension,"Concerta has no effect on my alcohol tolerance - anti-depressants, yes.",0.639529824256897
concerta,hypotension,New to stimulants ,0.6197255849838257
concerta,hypotension,Memory loss on concerta,0.6155420541763306
concerta,hypotension,"Dopaminergic drugs could cause psychosic in people predisposed to psychosis/schizophrenia. You might wanna tell your doctor about this, it could cause future issues, hopefully not, but always better to be safe and healthy",0.5970896482467651
concerta,hypotension,No side effects from quitting caffeine?,0.5967201590538025
concerta,hypotension,Just crash Anxiety or allergy? ,0.5914908647537231
concerta,hypotension,melatonin might help. also side effects like insomnia and feeling way too energized should go away after a week or two. if they don't then this perhaps isn't the right med for you.,0.5857739448547363
concerta,hypotension,Same shit different day. Methylphenidate CNS stimulant.,0.576992392539978
concerta,bradycardia,HELP! Concerta hallucinations ,0.6924164891242981
concerta,bradycardia,Loss of social inhibitions?,0.6225844621658325
concerta,bradycardia,Just crash Anxiety or allergy? ,0.6188497543334961
concerta,bradycardia,New to stimulants ,0.6187634468078613
concerta,bradycardia,Memory loss on concerta,0.6171035170555115
concerta,bradycardia,No side effects from quitting caffeine?,0.6018056273460388
concerta,bradycardia,New to ADHD Meds,0.594120442867279
concerta,bradycardia,Check your blood pressure it may be high,0.593893826007843
concerta,bradycardia,"Concerta has no effect on my alcohol tolerance - anti-depressants, yes.",0.5882322192192078
concerta,bradycardia,Side effect? ,0.5638097524642944
concerta,no adverse event,Side effect? ,0.5281433463096619
concerta,no adverse event,27mg with a 10mg Ritalin booster to use if needed.,0.5152544379234314
concerta,no adverse event,Check your blood pressure it may be high,0.5140985250473022
concerta,no adverse event,New to stimulants ,0.49505531787872314
concerta,no adverse event,1mg per kg of weight,0.48998966813087463
concerta,no adverse event,New to ADHD Meds,0.47884634137153625
concerta,no adverse event,No side effects from quitting caffeine?,0.4773060977458954
concerta,no adverse event,Yes but it is dependent on weight of the patient,0.4764048159122467
concerta,no adverse event,Just crash Anxiety or allergy? ,0.4665081202983856
concerta,no adverse event,Starting tomorrow and I’m nervous ,0.45053085684776306
concerta,electrocardiogram qt prolonged,Memory loss on concerta,1.6593658328056335
concerta,electrocardiogram qt prolonged,New to ADHD Meds,1.658020704984665
concerta,electrocardiogram qt prolonged,HELP! Concerta hallucinations ,1.6113111078739166
concerta,electrocardiogram qt prolonged,Just crash Anxiety or allergy? ,1.5741160809993744
concerta,electrocardiogram qt prolonged,Check your blood pressure it may be high,1.5676274001598358
concerta,electrocardiogram qt prolonged,New to stimulants ,1.5596486330032349
concerta,electrocardiogram qt prolonged,Loss of social inhibitions?,1.553183913230896
concerta,electrocardiogram qt prolonged,"36mg Concerta in the morning
5mg Booster (Medikinet) in the afternoon 

Based on my weight - my Dr can’t prescribe 54mg.",1.5501070320606232
concerta,electrocardiogram qt prolonged,What is your Concerta dosage?,1.5440978109836578
concerta,electrocardiogram qt prolonged,Great results but social anxiety?,1.5241827368736267
concerta,toxicity to various agents,Side effect? ,0.6493510603904724
concerta,toxicity to various agents,"Concerta has no effect on my alcohol tolerance - anti-depressants, yes.",0.6253852248191833
concerta,toxicity to various agents,Anyone Switch from Concerta to Ritalin,0.6101734638214111
concerta,toxicity to various agents,New to stimulants ,0.608550488948822
concerta,toxicity to various agents,Concerta and Alcohol ,0.5991138219833374
concerta,toxicity to various agents,Memory loss on concerta,0.5943098068237305
concerta,toxicity to various agents,Great results but social anxiety?,0.5828567743301392
concerta,toxicity to various agents,Just crash Anxiety or allergy? ,0.5789358615875244
concerta,toxicity to various agents,"Concerta and collagen supplements, do they affect the way Concerta works?",0.5765827894210815
concerta,toxicity to various agents,Most power to you,0.5757777094841003
concerta,agitation,Addiction,7.998848557472229
concerta,agitation,This.,7.6306851506233215
concerta,agitation,apologize,7.408409416675568
concerta,agitation,RIGHT?! 😭,7.287173092365265
concerta,agitation,36mg,7.150814056396484
concerta,agitation,yep,7.1209259033203125
concerta,agitation,Same!,7.047674179077148
concerta,agitation,Same 😂,7.047674179077148
concerta,agitation,Same,7.047674179077148
concerta,agitation,Forsho,6.674822807312012
concerta,pain,Addiction,7.492628633975983
concerta,pain,This.,7.284938633441925
concerta,pain,apologize,7.2295785546302795
concerta,pain,RIGHT?! 😭,6.936894476413727
concerta,pain,yep,6.796909391880035
concerta,pain,Same!,6.727977812290192
concerta,pain,Same 😂,6.727977812290192
concerta,pain,Same,6.727977812290192
concerta,pain,36mg,6.627155125141144
concerta,pain,Side effect? ,6.397414922714233
concerta,hypertension,Side effect? ,1.2265530228614807
concerta,hypertension,Check your blood pressure it may be high,1.126740038394928
concerta,hypertension,Just crash Anxiety or allergy? ,1.0990574955940247
concerta,hypertension,Loss of social inhibitions?,1.0751668512821198
concerta,hypertension,HELP! Concerta hallucinations ,1.0515950322151184
concerta,hypertension,Extremely horny,1.04058837890625
concerta,hypertension,New to ADHD Meds,1.0372137427330017
concerta,hypertension,Hyper-focus on 54mg,1.01522096991539
concerta,hypertension,Concerta not working anymore?,1.0042717456817627
concerta,hypertension,Memory loss on concerta,1.0009790062904358
concerta,dyspnoea,New to ADHD Meds,0.5414062738418579
concerta,dyspnoea,Just crash Anxiety or allergy? ,0.5350415706634521
concerta,dyspnoea,No amphetamine in concerta fyi,0.5321762561798096
concerta,dyspnoea,Same shit different day. Methylphenidate CNS stimulant.,0.5246709585189819
concerta,dyspnoea,Memory loss on concerta,0.5201294422149658
concerta,dyspnoea,"Dopaminergic drugs could cause psychosic in people predisposed to psychosis/schizophrenia. You might wanna tell your doctor about this, it could cause future issues, hopefully not, but always better to be safe and healthy",0.5197060108184814
concerta,dyspnoea,Adderall to Concerta?,0.5188479423522949
concerta,dyspnoea,Are you asking BC of EDS/HSD or something else? Do collagen supplements even work,0.5159868001937866
concerta,dyspnoea,18mg Concerta and 10mg of Cipralex?,0.5159860849380493
concerta,dyspnoea,I’d suggest you look into dexmethylphenidate/focalin XR,0.5057770013809204
concerta,chronic kidney disease,Just crash Anxiety or allergy? ,1.6295589804649353
concerta,chronic kidney disease,Loss of social inhibitions?,1.6277401149272919
concerta,chronic kidney disease,Side effect? ,1.6207062005996704
concerta,chronic kidney disease,New to ADHD Meds,1.5994814038276672
concerta,chronic kidney disease,HELP! Concerta hallucinations ,1.5843888819217682
concerta,chronic kidney disease,Check your blood pressure it may be high,1.5692467987537384
concerta,chronic kidney disease,Memory loss on concerta,1.5568026304244995
concerta,chronic kidney disease,Extremely horny,1.5276298522949219
concerta,chronic kidney disease,"Concerta side effects subsided, working much better now ! Really thankful I have a diagnosis and can get treatment. ",1.4540416300296783
concerta,chronic kidney disease,Chest pain/tightness in the evening,1.4531075954437256
concerta,diarrhoea,Just crash Anxiety or allergy? ,1.161494791507721
concerta,diarrhoea,HELP! Concerta hallucinations ,1.12483149766922
concerta,diarrhoea,Loss of social inhibitions?,1.119803011417389
concerta,diarrhoea,No side effects from quitting caffeine?,1.084723025560379
concerta,diarrhoea,Check your blood pressure it may be high,1.0744251608848572
concerta,diarrhoea,Just started and huge headache,1.0730946362018585
concerta,diarrhoea,"First day of 27mg, headache and unable to understand what I’m doing",1.0622829496860504
concerta,diarrhoea,Extremely horny,1.0508559346199036
concerta,diarrhoea,New to stimulants ,1.0489993393421173
concerta,diarrhoea,Side effect? ,1.0427940785884857
concerta,renal failure,Just crash Anxiety or allergy? ,1.6052473187446594
concerta,renal failure,Side effect? ,1.6032854318618774
concerta,renal failure,Loss of social inhibitions?,1.6031275987625122
concerta,renal failure,New to ADHD Meds,1.580068051815033
concerta,renal failure,HELP! Concerta hallucinations ,1.5620396733283997
concerta,renal failure,Check your blood pressure it may be high,1.5504095256328583
concerta,renal failure,Memory loss on concerta,1.5330283343791962
concerta,renal failure,Extremely horny,1.5095572769641876
concerta,renal failure,"Concerta side effects subsided, working much better now ! Really thankful I have a diagnosis and can get treatment. ",1.4360491633415222
concerta,renal failure,Yes but it is dependent on weight of the patient,1.4276253879070282
concerta,blood pressure increased,Check your blood pressure it may be high,0.7102972269058228
concerta,blood pressure increased,Loss of social inhibitions?,0.654613733291626
concerta,blood pressure increased,Just started and huge headache,0.6440607905387878
concerta,blood pressure increased,"Concerta side effects subsided, working much better now ! Really thankful I have a diagnosis and can get treatment. ",0.632450520992279
concerta,blood pressure increased,"I think it gets better with time. Also, what dosage?",0.6234043836593628
concerta,blood pressure increased,Avoid. Save the extra stress on your heart. And enjoy the productivity & health boost,0.6189031004905701
concerta,blood pressure increased,"First day of 27mg, headache and unable to understand what I’m doing",0.6138721108436584
concerta,blood pressure increased,Great results but social anxiety?,0.6136305332183838
concerta,blood pressure increased,Hits harder and faster enjoy,0.6072719693183899
concerta,blood pressure increased,Maybe you need a lower dosage.,0.6019608974456787
concerta,acute kidney injury,Side effect? ,2.189946174621582
concerta,acute kidney injury,Just crash Anxiety or allergy? ,2.1197482645511627
concerta,acute kidney injury,Loss of social inhibitions?,2.0788044035434723
concerta,acute kidney injury,New to ADHD Meds,2.0126079320907593
concerta,acute kidney injury,Memory loss on concerta,2.0102381706237793
concerta,acute kidney injury,HELP! Concerta hallucinations ,1.9886101186275482
concerta,acute kidney injury,Extremely horny,1.9883535504341125
concerta,acute kidney injury,Check your blood pressure it may be high,1.9677790999412537
concerta,acute kidney injury,Concerta not working anymore?,1.9095636010169983
concerta,acute kidney injury,Emotional flattening,1.901103138923645
concerta,asthenia,Concerta and Alcohol ,0.5901093482971191
concerta,asthenia,Concerta no longer works? Would the effects come back?,0.5645073056221008
concerta,asthenia,Adderall to Concerta?,0.5597127079963684
concerta,asthenia,Concerta not working anymore?,0.5501468181610107
concerta,asthenia,No amphetamine in concerta fyi,0.5462906956672668
concerta,asthenia,First time concerta?,0.5370796918869019
concerta,asthenia,Concerta 36mg,0.5329767465591431
concerta,asthenia,36mg,0.5328079462051392
concerta,asthenia,you are concerta’s chosen one 🫢,0.5299573540687561
concerta,asthenia,18mg Concerta and 10mg of Cipralex?,0.5293896794319153
concerta,death,Addiction,7.838228166103363
concerta,death,This.,7.684203922748566
concerta,death,apologize,7.510540127754211
concerta,death,RIGHT?! 😭,7.348015010356903
concerta,death,yep,7.148055791854858
concerta,death,Same!,7.068146109580994
concerta,death,Same 😂,7.068146109580994
concerta,death,Same,7.068146109580994
concerta,death,36mg,7.058088660240173
concerta,death,Forsho,6.833068907260895
concerta,fall,Addiction,7.707165718078613
concerta,fall,This.,7.549855053424835
concerta,fall,apologize,7.302935063838959
concerta,fall,RIGHT?! 😭,7.173112869262695
concerta,fall,yep,7.021814167499542
concerta,fall,36mg,6.950236022472382
concerta,fall,Same!,6.939396619796753
concerta,fall,Same 😂,6.939396619796753
concerta,fall,Same,6.939396619796753
concerta,fall,Forsho,6.788695514202118
concerta,suicide,Addiction,7.6660831570625305
concerta,suicide,This.,7.401906073093414
concerta,suicide,apologize,7.243050038814545
concerta,suicide,RIGHT?! 😭,7.038440763950348
concerta,suicide,yep,6.86508446931839
concerta,suicide,36mg,6.835174739360809
concerta,suicide,Same!,6.817119836807251
concerta,suicide,Same 😂,6.817119836807251
concerta,suicide,Same,6.817119836807251
concerta,suicide,Forsho,6.518942594528198
concerta,rash,Addiction,7.995657920837402
concerta,rash,This.,7.641163229942322
concerta,rash,RIGHT?! 😭,7.4089139103889465
concerta,rash,apologize,7.354507386684418
concerta,rash,36mg,7.322899401187897
concerta,rash,yep,7.142450213432312
concerta,rash,Same!,7.028228163719177
concerta,rash,Same 😂,7.028228163719177
concerta,rash,Same,7.028228163719177
concerta,rash,Forsho,6.905279517173767
concerta,weight increased,Same!,1.7993961572647095
concerta,weight increased,Same 😂,1.7993961572647095
concerta,weight increased,Same,1.7993961572647095
concerta,weight increased,Extremely horny,1.7985568046569824
concerta,weight increased,1mg per kg of weight,1.7640555500984192
concerta,weight increased,apologize,1.7617748975753784
concerta,weight increased,Side effect? ,1.7428905367851257
concerta,weight increased,Addiction,1.7369239330291748
concerta,weight increased,Hyper-focus on 54mg,1.7216670513153076
concerta,weight increased,Emotional flattening,1.692169725894928
concerta,malaise,apologize,2.057991862297058
concerta,malaise,Addiction,2.0464987754821777
concerta,malaise,This.,2.01926851272583
concerta,malaise,Side effect? ,1.996407687664032
concerta,malaise,RIGHT?! 😭,1.9552395939826965
concerta,malaise,yep,1.954014539718628
concerta,malaise,Same!,1.8605903387069702
concerta,malaise,Same 😂,1.8605903387069702
concerta,malaise,Same,1.8605903387069702
concerta,malaise,being wrong,1.8443372249603271
concerta,migraine,Side effect? ,1.2163897156715393
concerta,migraine,Addiction,1.2119184732437134
concerta,migraine,Same!,1.19248366355896
concerta,migraine,Same 😂,1.19248366355896
concerta,migraine,Same,1.19248366355896
concerta,migraine,Just started and huge headache,1.1868392825126648
concerta,migraine,apologize,1.1862383484840393
concerta,migraine,Just crash Anxiety or allergy? ,1.1741982102394104
concerta,migraine,Extremely horny,1.1632535457611084
concerta,migraine,yep,1.1631240844726562
concerta,anger,Addiction,7.655263662338257
concerta,anger,This.,7.363402903079987
concerta,anger,apologize,7.310011446475983
concerta,anger,RIGHT?! 😭,7.022389054298401
concerta,anger,yep,6.886720895767212
concerta,anger,Same!,6.826136231422424
concerta,anger,Same 😂,6.826136231422424
concerta,anger,Same,6.826136231422424
concerta,anger,36mg,6.79051399230957
concerta,anger,Side effect? ,6.393372178077698
concerta,withdrawal syndrome,Side effect? ,1.3652514219284058
concerta,withdrawal syndrome,Addiction,1.289810299873352
concerta,withdrawal syndrome,apologize,1.253915011882782
concerta,withdrawal syndrome,Hyper-focus on 54mg,1.2445208430290222
concerta,withdrawal syndrome,This.,1.228504240512848
concerta,withdrawal syndrome,Concerta and Alcohol ,1.222314476966858
concerta,withdrawal syndrome,Loss of social inhibitions?,1.2215643525123596
concerta,withdrawal syndrome,Same!,1.2078514099121094
concerta,withdrawal syndrome,Same 😂,1.2078514099121094
concerta,withdrawal syndrome,Same,1.2078514099121094
concerta,seizure,Addiction,7.90141886472702
concerta,seizure,This.,7.628323316574097
concerta,seizure,apologize,7.33744078874588
concerta,seizure,RIGHT?! 😭,7.316634178161621
concerta,seizure,36mg,7.246018886566162
concerta,seizure,yep,7.078883349895477
concerta,seizure,Same!,6.9659740924835205
concerta,seizure,Same 😂,6.9659740924835205
concerta,seizure,Same,6.9659740924835205
concerta,seizure,Forsho,6.929393291473389
concerta,application site erythema,New to ADHD Meds,1.1028039455413818
concerta,application site erythema,Just crash Anxiety or allergy? ,1.102412074804306
concerta,application site erythema,Memory loss on concerta,1.0981899499893188
concerta,application site erythema,Side effect? ,1.0940397679805756
concerta,application site erythema,Could be reflux/heartburn?,1.0441250205039978
concerta,application site erythema,Great results but social anxiety?,1.0420670807361603
concerta,application site erythema,72 is the last dose for a lot of concerta patients,1.0354253649711609
concerta,application site erythema,New to stimulants ,1.0303948819637299
concerta,application site erythema,It could also be burnout.,1.0264481008052826
concerta,application site erythema,Emotional flattening,1.0218024551868439
concerta,condition aggravated,Addiction,2.139451265335083
concerta,condition aggravated,This.,2.0491724014282227
concerta,condition aggravated,36mg,1.9967392683029175
concerta,condition aggravated,RIGHT?! 😭,1.98843914270401
concerta,condition aggravated,apologize,1.9764297604560852
concerta,condition aggravated,Same!,1.9395474791526794
concerta,condition aggravated,Same 😂,1.9395474791526794
concerta,condition aggravated,Same,1.9395474791526794
concerta,condition aggravated,Hyper-focus on 54mg,1.9177995324134827
concerta,condition aggravated,Side effect? ,1.8833340406417847
concerta,weight decreased,Extremely horny,2.978361487388611
concerta,weight decreased,Same!,2.899648606777191
concerta,weight decreased,Same 😂,2.899648606777191
concerta,weight decreased,Same,2.899648606777191
concerta,weight decreased,Addiction,2.895341992378235
concerta,weight decreased,apologize,2.888324797153473
concerta,weight decreased,Hyper-focus on 54mg,2.8650203347206116
concerta,weight decreased,Loss of social inhibitions?,2.849829822778702
concerta,weight decreased,Side effect? ,2.8125306963920593
concerta,weight decreased,Emotional flattening,2.7982856035232544
ritalin,drug ineffective,Patents? Distribution maybe?,0.7765724062919617
ritalin,drug ineffective,Change doctors.,0.7483341693878174
ritalin,drug ineffective,Different doctor.,0.743796706199646
ritalin,drug ineffective,Adverse drug reactions too.,0.7336271405220032
ritalin,drug ineffective,Ritalin at 9 months <3,0.7325550317764282
ritalin,drug ineffective,[removed] :(,0.7271497845649719
ritalin,drug ineffective,New psychiatrist time,0.7249179482460022
ritalin,drug ineffective,Diagnosed at 50. Yes.,0.7235313653945923
ritalin,drug ineffective,Coffee!,0.7173509001731873
ritalin,drug ineffective,Literally!,0.714221179485321
ritalin,nausea,Coffee!,7.602582693099976
ritalin,nausea,This. 🙌🙌,7.503694772720337
ritalin,nausea,This.,7.503694772720337
ritalin,nausea,THIS,7.503694772720337
ritalin,nausea,This,7.503694772720337
ritalin,nausea,This!,7.503694772720337
ritalin,nausea,This !!!!,7.503694772720337
ritalin,nausea,Congratulations!,7.498270332813263
ritalin,nausea,congratulations 🎊,7.498270332813263
ritalin,nausea,congratulations.,7.498270332813263
ritalin,fatigue,based,8.213570296764374
ritalin,fatigue,\*Save\*,8.054709255695343
ritalin,fatigue,This. 🙌🙌,8.046692430973053
ritalin,fatigue,This.,8.046692430973053
ritalin,fatigue,THIS,8.046692430973053
ritalin,fatigue,This,8.046692430973053
ritalin,fatigue,This!,8.046692430973053
ritalin,fatigue,This !!!!,8.046692430973053
ritalin,fatigue,Congratulations!,8.022445917129517
ritalin,fatigue,congratulations 🎊,8.022445917129517
ritalin,somnolence,What euphoria?,0.6570730209350586
ritalin,somnolence,Or depression,0.6452377438545227
ritalin,somnolence,Ritalin is great!,0.6361406445503235
ritalin,somnolence,What kind of other problems?,0.6328032612800598
ritalin,somnolence,"So, 2 options",0.6242184042930603
ritalin,somnolence,That's not euphoria,0.6237117648124695
ritalin,somnolence,"Logic, not math per-se",0.6226324439048767
ritalin,somnolence,Hyper fixating on it,0.6217699646949768
ritalin,somnolence,So relatable.,0.6151718497276306
ritalin,somnolence,Shared experience. 👍🏼,0.6145220994949341
ritalin,headache,Coffee!,7.891884028911591
ritalin,headache,This. 🙌🙌,7.758446753025055
ritalin,headache,This.,7.758446753025055
ritalin,headache,THIS,7.758446753025055
ritalin,headache,This,7.758446753025055
ritalin,headache,This!,7.758446753025055
ritalin,headache,This !!!!,7.758446753025055
ritalin,headache,Congratulations!,7.7493701577186584
ritalin,headache,congratulations 🎊,7.7493701577186584
ritalin,headache,congratulations.,7.7493701577186584
ritalin,vomiting,Coffee!,7.615322470664978
ritalin,vomiting,This. 🙌🙌,7.461630642414093
ritalin,vomiting,This.,7.461630642414093
ritalin,vomiting,THIS,7.461630642414093
