drug,side_effect,score
dexedrine,acute kidney injury,5.754865392352923
dexedrine,asthenia,5.740435753910502
dexedrine,death,4.69452979322061
dexedrine,fall,4.921642070799328
dexedrine,suicide,4.654470008131394
dexedrine,rash,5.844363088992017
dexedrine,weight increased,5.491745148697668
dexedrine,malaise,5.860447087268199
dexedrine,migraine,5.801205160130154
dexedrine,anger,4.7745814828833275
dexedrine,withdrawal syndrome,5.612363860380551
dexedrine,seizure,4.673939796346278
dexedrine,application site erythema,6.0860777984227035
dexedrine,condition aggravated,1.8927221380728336
dexedrine,weight decreased,5.6453020109618
dexstrostat,drug ineffective,5.391070544719696
dexstrostat,nausea,4.591222140192985
dexstrostat,fatigue,4.59575717151165
dexstrostat,somnolence,5.875202143192292
dexstrostat,headache,4.582477128505707
dexstrostat,vomiting,5.359659031033516
dexstrostat,insomnia,5.729622396826744
dexstrostat,dizziness,6.0899155110120775
dexstrostat,abnormal,4.633336734771729
dexstrostat,suicidal ideation,5.692642852663995
dexstrostat,depression,4.757543817162513
dexstrostat,anxiety,4.6037463545799255
dexstrostat,aggression,4.553314507007599
dexstrostat,abnormal behaviour,5.485467717051506
dexstrostat,abdominal pain,5.589683958888053
dexstrostat,decreased appetite,5.623496955633163
dexstrostat,disturbance in attention,5.489331012964248
dexstrostat,irritability,6.119609719514847
dexstrostat,hypotension,5.983790263533593
dexstrostat,bradycardia,5.931733876466751
dexstrostat,no adverse event,0.6470403850078583
dexstrostat,electrocardiogram qt prolonged,3.1066984117031096
dexstrostat,toxicity to various agents,5.624241062998772
dexstrostat,agitation,4.680629804730415
dexstrostat,pain,4.50379621386528
dexstrostat,hypertension,5.853913986682892
dexstrostat,dyspnoea,6.01890672147274
dexstrostat,chronic kidney disease,5.596698299050332
dexstrostat,diarrhoea,5.5940725028514855
dexstrostat,renal failure,5.753860914707184
dexstrostat,blood pressure increased,5.711425700783729
dexstrostat,acute kidney injury,5.639557430148125
dexstrostat,asthenia,5.566485753655432
dexstrostat,death,4.501067158579827
dexstrostat,fall,4.696038177609444
dexstrostat,suicide,4.488290092349052
dexstrostat,rash,5.69247879087925
dexstrostat,weight increased,5.302503669261932
dexstrostat,malaise,5.733418628573417
dexstrostat,migraine,5.686405748128891
dexstrostat,anger,4.600809180736541
dexstrostat,withdrawal syndrome,5.448608881235122
dexstrostat,seizure,4.481441411375999
dexstrostat,application site erythema,5.971007296442986
dexstrostat,condition aggravated,1.853625750541687
dexstrostat,weight decreased,5.4734507471323015
vyvanse,drug ineffective,5.41553113857905
vyvanse,nausea,4.592590722110537
vyvanse,fatigue,4.593926572137408
vyvanse,somnolence,5.878523821300931
vyvanse,headache,4.570755557881461
vyvanse,vomiting,5.366839912202623
vyvanse,insomnia,5.756727954414156
vyvanse,dizziness,6.130980988343556
vyvanse,abnormal,4.6197660896513195
vyvanse,suicidal ideation,5.727146828836863
vyvanse,depression,4.76315170791414
vyvanse,anxiety,4.603231751256518
vyvanse,aggression,4.55172929233975
vyvanse,abnormal behaviour,5.518783175283008
vyvanse,abdominal pain,5.629749047756195
vyvanse,decreased appetite,5.67589244974984
vyvanse,disturbance in attention,5.532613302601709
vyvanse,irritability,6.151229761706459
vyvanse,hypotension,6.004497980409199
vyvanse,bradycardia,5.935905512836245
vyvanse,no adverse event,0.6443855060471428
vyvanse,electrocardiogram qt prolonged,3.111103841993544
vyvanse,toxicity to various agents,5.630936127238804
vyvanse,agitation,4.670922606521183
vyvanse,pain,4.49781442615721
vyvanse,hypertension,5.881201814280616
vyvanse,dyspnoea,6.037407247225444
vyvanse,chronic kidney disease,5.608283565441768
vyvanse,diarrhoea,5.612746255927616
vyvanse,renal failure,5.759904633627998
vyvanse,blood pressure increased,5.749542651573817
vyvanse,acute kidney injury,5.651679011848238
vyvanse,asthenia,5.572585611210929
vyvanse,death,4.502578131357829
vyvanse,fall,4.657215295235317
vyvanse,suicide,4.489376244942346
vyvanse,rash,5.715846880276999
vyvanse,weight increased,5.341812605990303
vyvanse,malaise,5.756508678197861
vyvanse,migraine,5.70172801150216
vyvanse,anger,4.59670846329795
vyvanse,withdrawal syndrome,5.462322883473502
vyvanse,seizure,4.469206228521135
vyvanse,application site erythema,5.970121228694916
vyvanse,condition aggravated,1.852364393075307
vyvanse,weight decreased,5.5105959819422825
strattera,drug ineffective,5.523120852698266
strattera,nausea,4.698939744877604
strattera,fatigue,4.697981756345361
strattera,somnolence,5.988748982153108
strattera,headache,4.701451947731254
strattera,vomiting,5.50152607908291
strattera,insomnia,5.861880807486255
strattera,dizziness,6.210191998861533
strattera,abnormal,4.75832302987048
strattera,suicidal ideation,5.80741209081844
strattera,depression,4.8609335952627974
strattera,anxiety,4.708600244690887
strattera,aggression,4.662783338960294
strattera,abnormal behaviour,5.634279753254578
strattera,abdominal pain,5.735593855117274
strattera,decreased appetite,5.782300670062546
strattera,disturbance in attention,5.640551525934607
strattera,irritability,6.240147887605481
strattera,hypotension,6.0874035648540055
strattera,bradycardia,6.045202427205786
strattera,no adverse event,0.6574685568303134
strattera,electrocardiogram qt prolonged,3.1652563034960655
strattera,toxicity to various agents,5.734420161331649
strattera,agitation,4.813913182083485
strattera,pain,4.60646309604687
strattera,hypertension,5.9462773786709375
strattera,dyspnoea,6.123205738784992
strattera,chronic kidney disease,5.681888850653067
strattera,diarrhoea,5.685060301185709
strattera,renal failure,5.832802053046438
strattera,blood pressure increased,5.851186079261578
strattera,acute kidney injury,5.736577635845252
strattera,asthenia,5.697611218268892
strattera,death,4.607793892115618
strattera,fall,4.808840538548157
strattera,suicide,4.590730351156893
strattera,rash,5.825103562490075
strattera,weight increased,5.4611925437914595
strattera,malaise,5.851039782562086
strattera,migraine,5.791289090319018
strattera,anger,4.7113748873229575
strattera,withdrawal syndrome,5.576666796101932
strattera,seizure,4.593805701331755
strattera,application site erythema,6.074967015897277
strattera,condition aggravated,1.8888378214519634
strattera,weight decreased,5.622281407096745
intuniv,drug ineffective,5.529633927448042
intuniv,nausea,4.6880962391351835
intuniv,fatigue,4.690261932796445
intuniv,somnolence,5.983669818989162
intuniv,headache,4.676270492117981
intuniv,vomiting,5.488312747457932
intuniv,insomnia,5.860934430669094
intuniv,dizziness,6.215614297266664
intuniv,abnormal,4.735929293879147
intuniv,suicidal ideation,5.818820594199773
intuniv,depression,4.851692612828879
intuniv,anxiety,4.697796816969739
intuniv,aggression,4.649902599125073
intuniv,abnormal behaviour,5.6399332259235715
intuniv,abdominal pain,5.741152412418661
intuniv,decreased appetite,5.790047845963774
intuniv,disturbance in attention,5.647596057119041
intuniv,irritability,6.244020598201916
intuniv,hypotension,6.105826362453658
intuniv,bradycardia,6.054006459384128
intuniv,no adverse event,0.6560014702122787
intuniv,electrocardiogram qt prolonged,3.1709561748751276
intuniv,toxicity to various agents,5.749112924625134
intuniv,agitation,4.788573544087082
intuniv,pain,4.594875287906877
intuniv,hypertension,5.983757095090274
intuniv,dyspnoea,6.141089595597365
intuniv,chronic kidney disease,5.713287771261973
intuniv,diarrhoea,5.705282146560735
intuniv,renal failure,5.866069524966436
intuniv,blood pressure increased,5.859201326966285
intuniv,acute kidney injury,5.766173152060345
intuniv,asthenia,5.691698604616626
intuniv,death,4.591359649238915
intuniv,fall,4.763755076404275
intuniv,suicide,4.579808973546686
intuniv,rash,5.821639553740106
intuniv,weight increased,5.453601557119139
intuniv,malaise,5.854649171233176
intuniv,migraine,5.797920951555516
intuniv,anger,4.698625867222917
intuniv,withdrawal syndrome,5.582121304910759
intuniv,seizure,4.575270355261606
intuniv,application site erythema,6.077803946260748
intuniv,condition aggravated,1.8857849517772938
intuniv,weight decreased,5.623831177579945
kapvay,drug ineffective,5.5247830003499985
kapvay,nausea,4.673641670495272
kapvay,fatigue,4.67936198040843
kapvay,somnolence,6.015896633267403
kapvay,headache,4.671871297061443
kapvay,vomiting,5.496220871806145
kapvay,insomnia,5.874002926051617
kapvay,dizziness,6.214943207800388
kapvay,abnormal,4.732487875968218
kapvay,suicidal ideation,5.816005516797304
kapvay,depression,4.83767556399107
kapvay,anxiety,4.684638127684593
kapvay,aggression,4.638178717344999
kapvay,abnormal behaviour,5.631683841347694
kapvay,abdominal pain,5.729781668633223
kapvay,decreased appetite,5.7787370309233665
kapvay,disturbance in attention,5.643250819295645
kapvay,irritability,6.264152392745018
kapvay,hypotension,6.109999570995569
kapvay,bradycardia,6.082352627068758
kapvay,no adverse event,0.6541328206658363
kapvay,electrocardiogram qt prolonged,3.182553246617317
kapvay,toxicity to various agents,5.750499952584505
kapvay,agitation,4.7886364087462425
kapvay,pain,4.583740450441837
kapvay,hypertension,5.966034326702356
kapvay,dyspnoea,6.160838574171066
kapvay,chronic kidney disease,5.696060497313738
kapvay,diarrhoea,5.707885339856148
kapvay,renal failure,5.852608535438776
kapvay,blood pressure increased,5.857549000531435
kapvay,acute kidney injury,5.752747520804405
kapvay,asthenia,5.710165295749903
kapvay,death,4.581515692174435
kapvay,fall,4.773462451994419
kapvay,suicide,4.56714391335845
kapvay,rash,5.8209236934781075
kapvay,weight increased,5.446686912328005
kapvay,malaise,5.858180269598961
kapvay,migraine,5.797324869781733
kapvay,anger,4.689572531729937
kapvay,withdrawal syndrome,5.577958166599274
kapvay,seizure,4.569631647318602
kapvay,application site erythema,6.100794207304716
kapvay,condition aggravated,1.8928880169987679
kapvay,weight decreased,5.618685312569141
wellbutrin,drug ineffective,5.539154416371844
wellbutrin,nausea,4.739078961289149
wellbutrin,fatigue,4.736522647394511
wellbutrin,somnolence,5.986825861844672
wellbutrin,headache,4.748159453225574
wellbutrin,vomiting,5.5398837262475205
wellbutrin,insomnia,5.871787037135834
wellbutrin,dizziness,6.190161442597908
wellbutrin,abnormal,4.809772899219638
wellbutrin,suicidal ideation,5.807234215997184
wellbutrin,depression,4.898671670623724
wellbutrin,anxiety,4.753568307831459
wellbutrin,aggression,4.71274925571835
wellbutrin,abnormal behaviour,5.652168569785172
wellbutrin,abdominal pain,5.737948927515735
wellbutrin,decreased appetite,5.782309861408433
wellbutrin,disturbance in attention,5.64745026671894
wellbutrin,irritability,6.225946891549726
wellbutrin,hypotension,6.066180889997288
wellbutrin,bradycardia,6.042399400045545
wellbutrin,no adverse event,0.6549226951395022
wellbutrin,electrocardiogram qt prolonged,3.161671359514843
wellbutrin,toxicity to various agents,5.758756266414325
wellbutrin,agitation,4.879041166578052
wellbutrin,pain,4.648111915098918
wellbutrin,hypertension,5.947703936051627
wellbutrin,dyspnoea,6.0985216029890745
wellbutrin,chronic kidney disease,5.687753617026494
wellbutrin,diarrhoea,5.656067483906664
wellbutrin,renal failure,5.838411502544837
wellbutrin,blood pressure increased,5.852884535367684
wellbutrin,acute kidney injury,5.746456731420268
wellbutrin,asthenia,5.722916206936709
wellbutrin,death,4.6708335569654
wellbutrin,fall,4.875309471964609
wellbutrin,suicide,4.639825849676329
wellbutrin,rash,5.827515383725236
wellbutrin,weight increased,5.474963651430251
wellbutrin,malaise,5.853695892293618
wellbutrin,migraine,5.788914217193746
wellbutrin,anger,4.756966220714583
wellbutrin,withdrawal syndrome,5.598661637185265
wellbutrin,seizure,4.648806322420331
wellbutrin,application site erythema,6.071823717788873
wellbutrin,condition aggravated,1.890122880966662
wellbutrin,weight decreased,5.63260125299383
qelbree,drug ineffective,5.5502740404544735
qelbree,nausea,4.727905393665672
qelbree,fatigue,4.723296703436436
qelbree,somnolence,6.04168038439547
qelbree,headache,4.741492816780367
qelbree,vomiting,5.554299306156289
qelbree,insomnia,5.9091765686996975
qelbree,dizziness,6.2493556669125185
qelbree,abnormal,4.802253263118939
qelbree,suicidal ideation,5.843874965722745
qelbree,depression,4.882871126007831
qelbree,anxiety,4.738591303937456
qelbree,aggression,4.695490393883143
qelbree,abnormal behaviour,5.66428107354376
qelbree,abdominal pain,5.7666726792470016
qelbree,decreased appetite,5.808073194617899
qelbree,disturbance in attention,5.670620394822879
qelbree,irritability,6.287245774625713
qelbree,hypotension,6.123638559865136
qelbree,bradycardia,6.095754586478583
qelbree,no adverse event,0.6653841030903351
qelbree,electrocardiogram qt prolonged,3.1893481584186225
qelbree,toxicity to various agents,5.778280793856351
qelbree,agitation,4.8618052655305615
qelbree,pain,4.634280356077047
qelbree,hypertension,5.9787472117150955
qelbree,dyspnoea,6.168772777685753
qelbree,chronic kidney disease,5.718002064869954
qelbree,diarrhoea,5.725271921127272
qelbree,renal failure,5.871248344835053
qelbree,blood pressure increased,5.874946185920992
qelbree,acute kidney injury,5.772436060202428
qelbree,asthenia,5.740969843844064
qelbree,death,4.650291678997187
qelbree,fall,4.868664932047199
qelbree,suicide,4.623641341924667
qelbree,rash,5.871224646130178
qelbree,weight increased,5.484423183477841
qelbree,malaise,5.8930111980845785
qelbree,migraine,5.840586331919727
qelbree,anger,4.743677952860155
qelbree,withdrawal syndrome,5.614221750925749
qelbree,seizure,4.636272887134145
qelbree,application site erythema,6.129323589241403
qelbree,condition aggravated,1.9049445074847622
qelbree,weight decreased,5.6457473332555885
lntuniv,drug ineffective,5.470403606891631
lntuniv,nausea,4.678439917862415
lntuniv,fatigue,4.67577567478021
lntuniv,somnolence,5.920957151154677
lntuniv,headache,4.6945488710204755
lntuniv,vomiting,5.477882301608721
lntuniv,insomnia,5.807400587300459
lntuniv,dizziness,6.125008940994739
lntuniv,abnormal,4.758461484611034
lntuniv,suicidal ideation,5.739245535433293
lntuniv,depression,4.826630128721397
lntuniv,anxiety,4.691666797200838
lntuniv,aggression,4.6518707660834
lntuniv,abnormal behaviour,5.58515248487393
lntuniv,abdominal pain,5.67064645310243
lntuniv,decreased appetite,5.7120664594570805
lntuniv,disturbance in attention,5.5796668571233745
lntuniv,irritability,6.16167689293623
lntuniv,hypotension,5.995154739022255
lntuniv,bradycardia,5.975546636780102
lntuniv,no adverse event,0.6480563906828563
lntuniv,electrocardiogram qt prolonged,3.132191684345404
lntuniv,toxicity to various agents,5.695459757745266
lntuniv,agitation,4.827692878345649
lntuniv,pain,4.588024542629719
lntuniv,hypertension,5.874226426879566
lntuniv,dyspnoea,6.023579768737157
lntuniv,chronic kidney disease,5.617783884108066
lntuniv,diarrhoea,5.591474142968654
lntuniv,renal failure,5.763852386871973
lntuniv,blood pressure increased,5.780634487271309
lntuniv,acute kidney injury,5.67269377231598
lntuniv,asthenia,5.660456006626288
lntuniv,death,4.620288265248139
lntuniv,fall,4.83538094997406
lntuniv,suicide,4.580111619134744
lntuniv,rash,5.770571914414564
lntuniv,weight increased,5.410772358477115
lntuniv,malaise,5.791401528517406
lntuniv,migraine,5.730753041505815
lntuniv,anger,4.695224926173686
lntuniv,withdrawal syndrome,5.530129896700383
lntuniv,seizure,4.597685493032137
lntuniv,application site erythema,6.0116644258300465
lntuniv,condition aggravated,1.8725447539488473
lntuniv,weight decreased,5.561043095986048
clonidine,drug ineffective,5.627250133179858
clonidine,nausea,4.812353844047951
clonidine,fatigue,4.812766504450647
clonidine,somnolence,6.090266302737126
clonidine,headache,4.838065698437376
clonidine,vomiting,5.644630493498609
clonidine,insomnia,5.970599878010825
clonidine,dizziness,6.278466297037782
clonidine,abnormal,4.9077341355604025
clonidine,suicidal ideation,5.894319104849613
clonidine,depression,4.956954628161254
clonidine,anxiety,4.824516699362996
clonidine,aggression,4.784323823886472
clonidine,abnormal behaviour,5.752837523444638
clonidine,abdominal pain,5.83719857142292
clonidine,decreased appetite,5.884658993716121
clonidine,disturbance in attention,5.746119013679869
clonidine,irritability,6.319525905241999
clonidine,hypotension,6.153145190727194
clonidine,bradycardia,6.143162498713083
clonidine,no adverse event,0.6649553703827304
clonidine,electrocardiogram qt prolonged,3.2124153064703886
clonidine,toxicity to various agents,5.841073560076586
clonidine,agitation,4.973433118135348
clonidine,pain,4.717979498835522
clonidine,hypertension,6.023279191013892
clonidine,dyspnoea,6.20442062752122
clonidine,chronic kidney disease,5.7657589154797435
clonidine,diarrhoea,5.735895142672002
clonidine,renal failure,5.919939017784621
clonidine,blood pressure increased,5.946989190198295
clonidine,acute kidney injury,5.827913548245788
clonidine,asthenia,5.821184324512178
clonidine,death,4.749763463990835
clonidine,fall,4.990241703995267
clonidine,suicide,4.709572420033344
clonidine,rash,5.926387355580144
clonidine,weight increased,5.575473531843046
clonidine,malaise,5.938943865155305
clonidine,migraine,5.874767634958233
clonidine,anger,4.8323588688987265
clonidine,withdrawal syndrome,5.690308746009862
clonidine,seizure,4.7360994458062775
clonidine,application site erythema,6.164794356988612
clonidine,condition aggravated,1.9097103014893846
clonidine,weight decreased,5.727122941226242
Vyvanse,drug ineffective,5.617767265348723
Vyvanse,nausea,4.787209516221826
Vyvanse,fatigue,4.785265546404954
Vyvanse,somnolence,6.084575014583992
Vyvanse,headache,4.815784572200342
Vyvanse,vomiting,5.639426731702054
Vyvanse,insomnia,5.953388547807029
Vyvanse,dizziness,6.279279158873992
Vyvanse,abnormal,4.88537154324127
Vyvanse,suicidal ideation,5.883459917072094
Vyvanse,depression,4.935214722246835
Vyvanse,anxiety,4.79726418627031
Vyvanse,aggression,4.758880715478551
Vyvanse,abnormal behaviour,5.741861951622096
Vyvanse,abdominal pain,5.834342576789132
Vyvanse,decreased appetite,5.87552267809709
Vyvanse,disturbance in attention,5.737910599871115
Vyvanse,irritability,6.320579428564418
Vyvanse,hypotension,6.164981260895729
Vyvanse,bradycardia,6.140881028139231
Vyvanse,no adverse event,0.6665493972373732
Vyvanse,electrocardiogram qt prolonged,3.211085298747727
Vyvanse,toxicity to various agents,5.83399760677959
Vyvanse,agitation,4.9493595298492545
Vyvanse,pain,4.69246758385138
Vyvanse,hypertension,6.024097814252883
Vyvanse,dyspnoea,6.2011620230746995
Vyvanse,chronic kidney disease,5.761997885324739
Vyvanse,diarrhoea,5.747227312037438
Vyvanse,renal failure,5.909027468977553
Vyvanse,blood pressure increased,5.941568381858595
Vyvanse,acute kidney injury,5.8277312092708815
Vyvanse,asthenia,5.811274144234079
Vyvanse,death,4.717380799578898
Vyvanse,fall,4.972784458687811
Vyvanse,suicide,4.682795661416921
Vyvanse,rash,5.927052294214566
Vyvanse,weight increased,5.5682499377113395
Vyvanse,malaise,5.933173775672913
Vyvanse,migraine,5.873748893087559
Vyvanse,anger,4.808308270392996
Vyvanse,withdrawal syndrome,5.682763623920355
Vyvanse,seizure,4.711441094225102
Vyvanse,application site erythema,6.172420491774876
Vyvanse,condition aggravated,1.9173884202133524
Vyvanse,weight decreased,5.721593338431735
