rank,side_effect,comment
top 3,anger,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results."""
top 3,anger,"Dexedrine (dextroamphetamine)""This drug is incredible. Without this drug, I would not be able to work 45 hours a week. I went on a leave of absence until I got 20 mg. I crave sleep almost all the time when not on this drug. On the Dex, I can get up and get to work. It increases my energy level 3 out of 10. So a 4/10 becomes a 7/10. Which is my max (ok, rarely an 8). I have 1/10 days, usually 2 to 3 days a month, so I skip taking the Dex and sleep 15 hours. I shall add I get zero side effects, so I am very fortunate. The Dex is not a miracle, but it allows me to make $$ for my family. I enjoy working, and I also enjoy some free time. Without it, frankly, my life would be a disaster."""
top 3,anger,"Dexedrine (dextroamphetamine) for ADHD""Great medicine, I recently restarted this medicine after 10 years and I feel normal again. This medicine has given me great peace in my life. I feel calm and collected, and I'm quickly understanding what it's like to have 'free time'. I insist that people who find results using this medicine ensure those in government understand the increase in quality of life we are all experiencing. I've rated this medicine 10/10 purely because any cons I've experienced are meaningless compared to being given a life."""
top 3,anger,"Dexedrine (dextroamphetamine) for ADHD""I would suggest anyone on this, to stop or take a break once you've noticed your reasoning, memory recall abilities becoming hindered. Even though I'm happy with the benefits of focus, it's not worth losing your short-term memory. Over time, I noticed my math skills declined, followed by my word recall, spelling, and now I can't remember stories or study material. It's extremely debilitating, I'm trying to figure out how to reverse the side effects."""
top 3,anger,"Dexedrine (dextroamphetamine) for ADHD""I was diagnosed with ADHD six months ago. I am 30 years old. My whole life has been a big problem with taking school, finance, and friendship seriously. I have, on the other hand, been a person with a good mood, charm, and a sense of adventure. All these are good qualities you think? Not really. I've developed alcoholism, I've never had a financial surplus, I've lost touch with most of my good friends, and I've never accomplished anything I've set myself the goal of. I began to understand why my life has become so miserable. I started exposing myself to all kinds of things - for the first time I felt solid - a sense of integrity. At the same time, it was a great stress. After a month, I began to think that my whole life had just been a big joke. Before you start taking this medicine: Be prepared to experience identity disorder. NEGATIVE: My hair has gone from thick to thin, my skin is not so smooth anymore, and sometimes sleep can be very difficult."""
top 4,depression,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results."""
top 4,depression,"Dexedrine (dextroamphetamine)""This drug is incredible. Without this drug, I would not be able to work 45 hours a week. I went on a leave of absence until I got 20 mg. I crave sleep almost all the time when not on this drug. On the Dex, I can get up and get to work. It increases my energy level 3 out of 10. So a 4/10 becomes a 7/10. Which is my max (ok, rarely an 8). I have 1/10 days, usually 2 to 3 days a month, so I skip taking the Dex and sleep 15 hours. I shall add I get zero side effects, so I am very fortunate. The Dex is not a miracle, but it allows me to make $$ for my family. I enjoy working, and I also enjoy some free time. Without it, frankly, my life would be a disaster."""
top 4,depression,"Dexedrine (dextroamphetamine) for ADHD""Great medicine, I recently restarted this medicine after 10 years and I feel normal again. This medicine has given me great peace in my life. I feel calm and collected, and I'm quickly understanding what it's like to have 'free time'. I insist that people who find results using this medicine ensure those in government understand the increase in quality of life we are all experiencing. I've rated this medicine 10/10 purely because any cons I've experienced are meaningless compared to being given a life."""
top 4,depression,"Dexedrine (dextroamphetamine) for ADHD""I was diagnosed with ADHD six months ago. I am 30 years old. My whole life has been a big problem with taking school, finance, and friendship seriously. I have, on the other hand, been a person with a good mood, charm, and a sense of adventure. All these are good qualities you think? Not really. I've developed alcoholism, I've never had a financial surplus, I've lost touch with most of my good friends, and I've never accomplished anything I've set myself the goal of. I began to understand why my life has become so miserable. I started exposing myself to all kinds of things - for the first time I felt solid - a sense of integrity. At the same time, it was a great stress. After a month, I began to think that my whole life had just been a big joke. Before you start taking this medicine: Be prepared to experience identity disorder. NEGATIVE: My hair has gone from thick to thin, my skin is not so smooth anymore, and sometimes sleep can be very difficult."""
top 4,depression,"Dexedrine (dextroamphetamine) for ADHD""I would suggest anyone on this, to stop or take a break once you've noticed your reasoning, memory recall abilities becoming hindered. Even though I'm happy with the benefits of focus, it's not worth losing your short-term memory. Over time, I noticed my math skills declined, followed by my word recall, spelling, and now I can't remember stories or study material. It's extremely debilitating, I'm trying to figure out how to reverse the side effects."""
top 5,pain,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results."""
top 5,pain,"Dexedrine (dextroamphetamine)""This drug is incredible. Without this drug, I would not be able to work 45 hours a week. I went on a leave of absence until I got 20 mg. I crave sleep almost all the time when not on this drug. On the Dex, I can get up and get to work. It increases my energy level 3 out of 10. So a 4/10 becomes a 7/10. Which is my max (ok, rarely an 8). I have 1/10 days, usually 2 to 3 days a month, so I skip taking the Dex and sleep 15 hours. I shall add I get zero side effects, so I am very fortunate. The Dex is not a miracle, but it allows me to make $$ for my family. I enjoy working, and I also enjoy some free time. Without it, frankly, my life would be a disaster."""
top 5,pain,"Dexedrine (dextroamphetamine) for ADHD""Great medicine, I recently restarted this medicine after 10 years and I feel normal again. This medicine has given me great peace in my life. I feel calm and collected, and I'm quickly understanding what it's like to have 'free time'. I insist that people who find results using this medicine ensure those in government understand the increase in quality of life we are all experiencing. I've rated this medicine 10/10 purely because any cons I've experienced are meaningless compared to being given a life."""
top 5,pain,"Dexedrine (dextroamphetamine) for ADHD""I was diagnosed with ADHD six months ago. I am 30 years old. My whole life has been a big problem with taking school, finance, and friendship seriously. I have, on the other hand, been a person with a good mood, charm, and a sense of adventure. All these are good qualities you think? Not really. I've developed alcoholism, I've never had a financial surplus, I've lost touch with most of my good friends, and I've never accomplished anything I've set myself the goal of. I began to understand why my life has become so miserable. I started exposing myself to all kinds of things - for the first time I felt solid - a sense of integrity. At the same time, it was a great stress. After a month, I began to think that my whole life had just been a big joke. Before you start taking this medicine: Be prepared to experience identity disorder. NEGATIVE: My hair has gone from thick to thin, my skin is not so smooth anymore, and sometimes sleep can be very difficult."""
top 5,pain,"Dexedrine (dextroamphetamine) for ADHD""I would suggest anyone on this, to stop or take a break once you've noticed your reasoning, memory recall abilities becoming hindered. Even though I'm happy with the benefits of focus, it's not worth losing your short-term memory. Over time, I noticed my math skills declined, followed by my word recall, spelling, and now I can't remember stories or study material. It's extremely debilitating, I'm trying to figure out how to reverse the side effects."""
tail 1,dizziness,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results."""
tail 1,dizziness,"Dexedrine (dextroamphetamine) for ADHD""I would suggest anyone on this, to stop or take a break once you've noticed your reasoning, memory recall abilities becoming hindered. Even though I'm happy with the benefits of focus, it's not worth losing your short-term memory. Over time, I noticed my math skills declined, followed by my word recall, spelling, and now I can't remember stories or study material. It's extremely debilitating, I'm trying to figure out how to reverse the side effects."""
tail 1,dizziness,"Zenzedi (dextroamphetamine) for ADHD""After years of Adderall and the inconsistency in quality offered by generics, Zenzedi is the only medicine that has worked great for two years now. No hard crashes with mood swings. Effective for 4 to 6 hours depending on my food choices for the day. No insomnia problems as long as the last dose is between 4 and 5 pm. I'm prescribed 30mg 3 times daily."""
tail 1,dizziness,"Dexedrine (dextroamphetamine) for ADHD""So I started Zoloft in my 20s, it worked really great for a couple of years. So when I got any depression flare-ups again, I was put on antidepressants, but noticed they weren’t working anymore. I still feel those symptoms: sadness, low self-esteem, no energy to do anything, forgetting things, procrastinating a lot, hard to concentrate and finish a task. I wondered if I had ADD. It all pointed to Adult ADD. I told my doc of my beliefs and maybe I was misdiagnosed. I tried more antidepressants which were having no effect. Then my therapist convinced my doctor to prescribe me Dexedrine 10mg just in the morning. The first day I took my pill, my eyes were open, the energy was there, and I couldn’t believe it worked. Now, on the 3rd day with just one 10mg pill in the morning, it stopped working. In my opinion, I believe a lot of people are misdiagnosed, thinking they have depression instead of ADD or ADHD."""
tail 1,dizziness,"Dexedrine (dextroamphetamine) for ADHD""This medication is hard to find, which is unfortunate because, quite simply, it works on some ADHD people when other more common medications do not. Dextroamphetamine (generic)/Zenzedi (brand name) acts more on dopamine than norepinephrine. Adderall, which is dextroamp and levoamp, the latter affecting mostly norepinephrine, made me tired and flat--and hungry. Kind of a paradoxical reaction. It helped my emotional overreactivity, but not other ADHD symptoms like initiation of tasks and related anxiety/irritability, procrastination, and negative ruminations (mentally getting 'stuck'). Obviously, my brain needs help with dopamine, and too much norepinephrine is dulling and unpleasantly sedating. Those with similar reactions to Adderall (and/or methylphenidates like Ritalin) might want to give Dextroamphetamine a try. It feels like a totally different class of medication than Adderall to my (admittedly atypical) brain, and works great."""
tail 2,no adverse event,"Dexedrine (dextroamphetamine) for ADHD""I'm 46 and was diagnosed with ADHD 2 times when I was a kid but never took the medicine. My life's always felt out of control and an emotional roller coaster. I tried Adderall first, but it made me too jumpy. I switched to Dextroamphetamine, and once I got past the first week and up to my 20 mg a day, everything became so much easier to deal with in life. Less stress, better sleep at night, and makes me feel 'normal'. Best medicine in the world, but the cost is absolutely ridiculous as I have no insurance."""
tail 2,no adverse event,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results."""
tail 2,no adverse event,"Dexedrine (dextroamphetamine) for ADHD""Have been on dextroamphetamine for a very long time for ADHD. Started with the name brand but switched to generic due to costs. Generics appear to vary widely. Neither Teva nor Aurobindo work for me at all. Worthless for me. Mallinckrodt works, as does the brand name, but I can't access Mallinckrodt. Someone has suggested Zenzedi (tablet, not capsule). It is a generic-simply named. Anyone have any experience with it? Anyone have a similar experience with Teva or Aurobindo? Either the inactive ingredients are sufficiently different to cause problems for me, or they don't include the same dosage of the active ingredient. Anyone know which? Dexedrine itself has made a huge difference in my life."""
tail 2,no adverse event,"Dexedrine (dextroamphetamine) for ADHD""Teva's 5/10 mg Dexedrine tablets appear tainted and/or lack the correct active ingredient. It doesn't control symptoms and makes me feel miserable, hostile, and angry. I've been taking Dexedrine for years, allowing me to function well except for the Teva brand. All generics are not the same. I had the same problem with Teva Dexedrine a few years ago and switched pharmacies. Other generic Dexedrines worked for another 3 years. This month, it was again not working, making me feel miserable and not controlling symptoms. The manufacturer was not on the bottle, so I called the pharmacy. Yup, Teva! I've had more than 36 bottles of Dexedrine since the previous negative experience; none were Teva and all worked. Out of 36 vials, one did not work and made me feel miserable, and the only one was Teva. The odds (0.028) are too long for coincidence or expectancy effect. There's something wrong with the 5/10 mg tablets of Teva's Dexedrine. Teva is tainted or there's some other problem with it. Avoid!"""
tail 2,no adverse event,"Dexedrine (dextroamphetamine) for ADHD""The very best ADHD medicine I’ve tried! I started out on methylphenidate, which did absolutely nothing for me, then switched to Adderall, which worked but caused me anxiety quite often. After being on Adderall for a while, I did my own research and came across Dexedrine/dextroamphetamine and how tons of people who struggled with anxiety on other ADHD meds loved it. I asked my doctor to switch, and I am so thankful that I did!! With Dexedrine, I don’t feel anxious or jittery, but have tons of drive and focus to get things done! I have to point out, for those of you who like Adderall and the “speedy“ feeling you get from it, then Dexedrine may not be for you. However, if you are like me and don’t like feeling like you’ve taken a narcotic stimulant, then you should certainly try Dexedrine/dextroamphetamine… You won’t regret it!! It feels far more natural for me personally than Adderall ever did. I am so thankful for this medication!"""
tail 3,somnolence,"Dexedrine (dextroamphetamine) for ADHD""Great medicine, I recently restarted this medicine after 10 years and I feel normal again. This medicine has given me great peace in my life. I feel calm and collected, and I'm quickly understanding what it's like to have 'free time'. I insist that people who find results using this medicine ensure those in government understand the increase in quality of life we are all experiencing. I've rated this medicine 10/10 purely because any cons I've experienced are meaningless compared to being given a life."""
tail 3,somnolence,"Dexedrine (dextroamphetamine) for ADHD""I was diagnosed with ADHD six months ago. I am 30 years old. My whole life has been a big problem with taking school, finance, and friendship seriously. I have, on the other hand, been a person with a good mood, charm, and a sense of adventure. All these are good qualities you think? Not really. I've developed alcoholism, I've never had a financial surplus, I've lost touch with most of my good friends, and I've never accomplished anything I've set myself the goal of. I began to understand why my life has become so miserable. I started exposing myself to all kinds of things - for the first time I felt solid - a sense of integrity. At the same time, it was a great stress. After a month, I began to think that my whole life had just been a big joke. Before you start taking this medicine: Be prepared to experience identity disorder. NEGATIVE: My hair has gone from thick to thin, my skin is not so smooth anymore, and sometimes sleep can be very difficult."""
tail 3,somnolence,"Dexedrine (dextroamphetamine) for ADHD""I have visited this site for years reviewing people’s posts, always in hope that just maybe that medication would work for my severe inattentive ADHD and narcolepsy. I’ve been on Vyvanse, Adderall IR and XR, Focalin IR and XR, any med you can name I’ve probably been prescribed. I am here to tell those that feel uncertain about this med and have suffered for years with the side effects from other meds that dextroamphetamine has changed my life. I went from an anxious, failing college student to graduating, being able to socialize like I always knew I was capable of, and pursuing my dream career (and no side effects). If anyone can relate to this post I hope it helps you. Don’t give up hope!"""
tail 3,somnolence,"Zenzedi (dextroamphetamine) for ADHD""I'm 37, was diagnosed with ADHD at 9. My parents thought it was rubbish due to my grades and voracious reading, and that my typical ADHD (and ASD) traits were me being lazy, immature, bratty, or oversensitive. After two decades of life failure (grades don't predict success), I sought treatment. Only Zenzedi (NOT any of the generic d-amps) helped reliably with my inability to not procrastinate, interrupt, lose things, feel so overwhelmed that I avoided everything. Unfortunately, there is a shortage of this med and I've heard that it may be discontinued in favor of a new 'non-abusable' IR d,l-amp product by the pharma corp that makes Zenzedi! And like many medical decisions made in this era, citizens have no ability to change the outcome."""
tail 3,somnolence,"Zenzedi (dextroamphetamine) for ADHD""After years of Adderall and the inconsistency in quality offered by generics, Zenzedi is the only medicine that has worked great for two years now. No hard crashes with mood swings. Effective for 4 to 6 hours depending on my food choices for the day. No insomnia problems as long as the last dose is between 4 and 5 pm. I'm prescribed 30mg 3 times daily."""
tail 4,abdominal pain,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results."""
tail 4,abdominal pain,"Dexedrine (dextroamphetamine) for ADHD""I'm 46 and was diagnosed with ADHD 2 times when I was a kid but never took the medicine. My life's always felt out of control and an emotional roller coaster. I tried Adderall first, but it made me too jumpy. I switched to Dextroamphetamine, and once I got past the first week and up to my 20 mg a day, everything became so much easier to deal with in life. Less stress, better sleep at night, and makes me feel 'normal'. Best medicine in the world, but the cost is absolutely ridiculous as I have no insurance."""
tail 4,abdominal pain,"Dexedrine (dextroamphetamine) for ADHD""So I started Zoloft in my 20s, it worked really great for a couple of years. So when I got any depression flare-ups again, I was put on antidepressants, but noticed they weren’t working anymore. I still feel those symptoms: sadness, low self-esteem, no energy to do anything, forgetting things, procrastinating a lot, hard to concentrate and finish a task. I wondered if I had ADD. It all pointed to Adult ADD. I told my doc of my beliefs and maybe I was misdiagnosed. I tried more antidepressants which were having no effect. Then my therapist convinced my doctor to prescribe me Dexedrine 10mg just in the morning. The first day I took my pill, my eyes were open, the energy was there, and I couldn’t believe it worked. Now, on the 3rd day with just one 10mg pill in the morning, it stopped working. In my opinion, I believe a lot of people are misdiagnosed, thinking they have depression instead of ADD or ADHD."""
tail 4,abdominal pain,"Dexedrine (dextroamphetamine) for ADHD""I would suggest anyone on this, to stop or take a break once you've noticed your reasoning, memory recall abilities becoming hindered. Even though I'm happy with the benefits of focus, it's not worth losing your short-term memory. Over time, I noticed my math skills declined, followed by my word recall, spelling, and now I can't remember stories or study material. It's extremely debilitating, I'm trying to figure out how to reverse the side effects."""
tail 4,abdominal pain,"Dexedrine (dextroamphetamine) for ADHD""Teva's 5/10 mg Dexedrine tablets appear tainted and/or lack the correct active ingredient. It doesn't control symptoms and makes me feel miserable, hostile, and angry. I've been taking Dexedrine for years, allowing me to function well except for the Teva brand. All generics are not the same. I had the same problem with Teva Dexedrine a few years ago and switched pharmacies. Other generic Dexedrines worked for another 3 years. This month, it was again not working, making me feel miserable and not controlling symptoms. The manufacturer was not on the bottle, so I called the pharmacy. Yup, Teva! I've had more than 36 bottles of Dexedrine since the previous negative experience; none were Teva and all worked. Out of 36 vials, one did not work and made me feel miserable, and the only one was Teva. The odds (0.028) are too long for coincidence or expectancy effect. There's something wrong with the 5/10 mg tablets of Teva's Dexedrine. Teva is tainted or there's some other problem with it. Avoid!"""
tail 5,disturbance in attention,"Dexedrine (dextroamphetamine) for ADHD""I would suggest anyone on this, to stop or take a break once you've noticed your reasoning, memory recall abilities becoming hindered. Even though I'm happy with the benefits of focus, it's not worth losing your short-term memory. Over time, I noticed my math skills declined, followed by my word recall, spelling, and now I can't remember stories or study material. It's extremely debilitating, I'm trying to figure out how to reverse the side effects."""
tail 5,disturbance in attention,"Dexedrine (dextroamphetamine) for ADHD""Have been taking Dexedrine spansules (10 mg) for over 2 years, three times per day. I never knew I had rank ADHD all my life - problems with school, the law. I am 47 and have noticed my ambition for life has increased, having more energy. I used to be tired a lot, complaining, generally overall agitated. At the same time, I have many comorbidities to deal with but fortunately don't have to take any anxiety meds. Dexedrine is all I know, and I am satisfied with the results."""
tail 5,disturbance in attention,"Zenzedi (dextroamphetamine) for ADHD""I'm 37, was diagnosed with ADHD at 9. My parents thought it was rubbish due to my grades and voracious reading, and that my typical ADHD (and ASD) traits were me being lazy, immature, bratty, or oversensitive. After two decades of life failure (grades don't predict success), I sought treatment. Only Zenzedi (NOT any of the generic d-amps) helped reliably with my inability to not procrastinate, interrupt, lose things, feel so overwhelmed that I avoided everything. Unfortunately, there is a shortage of this med and I've heard that it may be discontinued in favor of a new 'non-abusable' IR d,l-amp product by the pharma corp that makes Zenzedi! And like many medical decisions made in this era, citizens have no ability to change the outcome."""
tail 5,disturbance in attention,"Dexedrine (dextroamphetamine) for ADHD""Great medicine, I recently restarted this medicine after 10 years and I feel normal again. This medicine has given me great peace in my life. I feel calm and collected, and I'm quickly understanding what it's like to have 'free time'. I insist that people who find results using this medicine ensure those in government understand the increase in quality of life we are all experiencing. I've rated this medicine 10/10 purely because any cons I've experienced are meaningless compared to being given a life."""
tail 5,disturbance in attention,"Dexedrine (dextroamphetamine) for ADHD""So I started Zoloft in my 20s, it worked really great for a couple of years. So when I got any depression flare-ups again, I was put on antidepressants, but noticed they weren’t working anymore. I still feel those symptoms: sadness, low self-esteem, no energy to do anything, forgetting things, procrastinating a lot, hard to concentrate and finish a task. I wondered if I had ADD. It all pointed to Adult ADD. I told my doc of my beliefs and maybe I was misdiagnosed. I tried more antidepressants which were having no effect. Then my therapist convinced my doctor to prescribe me Dexedrine 10mg just in the morning. The first day I took my pill, my eyes were open, the energy was there, and I couldn’t believe it worked. Now, on the 3rd day with just one 10mg pill in the morning, it stopped working. In my opinion, I believe a lot of people are misdiagnosed, thinking they have depression instead of ADD or ADHD."""
