rank,side_effect,comment
tail 3,electrocardiogram qt prolonged,"I listen to guided meditation sleep videos on YouTube or brown noise videos, whichever my brain is craving. My little one (whom I suspect also has ADHD) falls asleep within minutes."
tail 3,electrocardiogram qt prolonged,Please consider Non24 disorder. It's quite common for ADHD / ASD to have Delayed Sleep Phase Disorder or even Non24. That's totally fine! You simply should restructure your life according to your biorhythm / genetic fixed needs.
tail 3,electrocardiogram qt prolonged,"My therapist told me about the hypo arousal and hyper arousal that our brain experiences (similar to children with ptsd) so he told me no gaming, no phone, no bright lights an hour before bed. It helps a lot"
tail 3,electrocardiogram qt prolonged,I fall asleep easily but toss and turn all night. Fall back asleep fine but in pain because of the positions I get into. I feel that “driven by a motor” impulse to turn over.
tail 4,suicide,I fall asleep easily but toss and turn all night. Fall back asleep fine but in pain because of the positions I get into. I feel that “driven by a motor” impulse to turn over.
tail 4,suicide,"Lex is great for anxiety but go up slowly. try 5mg for 6 weeks, then 10mg and see where you're at. You can also increase Wellbutrin to counter any bad effects from Lex"
tail 4,suicide,"This only works for me if it’s a boring, even level sound, book that I’ve already listened to. 
Unfortunately, I can’t picture images in my head, aphantasia, so mental imagery has never been a go-to for me."
tail 4,suicide,Please consider Non24 disorder. It's quite common for ADHD / ASD to have Delayed Sleep Phase Disorder or even Non24. That's totally fine! You simply should restructure your life according to your biorhythm / genetic fixed needs.
tail 4,suicide,"Physical exercise late in the day. A walk, whatever. 

A podcast I listen to regularly, so the voices sound familiar to me, with a 15 minute timer. 99% of the time I am asleep before it stops. Audiobooks also work."
tail 5,pain,I fall asleep easily but toss and turn all night. Fall back asleep fine but in pain because of the positions I get into. I feel that “driven by a motor” impulse to turn over.
tail 5,pain,"Lex is great for anxiety but go up slowly. try 5mg for 6 weeks, then 10mg and see where you're at. You can also increase Wellbutrin to counter any bad effects from Lex"
tail 5,pain,Please consider Non24 disorder. It's quite common for ADHD / ASD to have Delayed Sleep Phase Disorder or even Non24. That's totally fine! You simply should restructure your life according to your biorhythm / genetic fixed needs.
tail 5,pain,"This only works for me if it’s a boring, even level sound, book that I’ve already listened to. 
Unfortunately, I can’t picture images in my head, aphantasia, so mental imagery has never been a go-to for me."
tail 5,pain,"Physical exercise late in the day. A walk, whatever. 

A podcast I listen to regularly, so the voices sound familiar to me, with a 15 minute timer. 99% of the time I am asleep before it stops. Audiobooks also work."
