index,Drug Name,Review Text,cleaned_comments,side_effects
30,concerta,"""I've been on Concerta for a few weeks now, I was just recently diagnosed with ADHD, and it's my first medication. I am a 15-year-old female. I started with 18 mg but didn't feel any difference. It only decreased my appetite (I lost about 5 lbs a week) to the point where I became underweight. My doctor recently upped my dose to 36 mg, and I feel worse than before. I've been having a hard time falling asleep and have slept very restlessly. I am still losing weight. I've also noticed that I feel more moody and impulsive, and I have been hyper-fixating more and lashing out at my family. I have a doctor's appointment next week where I hope to switch medications.""",ive been on concerta for a few weeks now i was just recently diagnosed with adhd and its my first medication i am a year old female i started with mg but didnt feel any difference it only decreased my appetite i lost about lbs a week to the point where i became underweight my doctor recently upped my dose to mg and i feel worse than before ive been having a hard time falling asleep and have slept very restlessly i am still losing weight ive also noticed that i feel more moody and impulsive and i have been hyper fixating more and lashing out at my family i have a doctors appointment next week where i hope to switch medications,[]
35,concerta,"""I've struggled with ADHD and depression for about half my life. I started this medication around 3 months ago. I take the 54 mg dose. I've tried probably every antidepressant there is, and quite a few for anxiety. But this, I think personally, Concerta has helped quite a bit in regard to both. Because of it, I've been able to wean off my antidepressant and no longer have to take it. The appetite suppressant does help me out since I'm working on weight loss, but it can also be a struggle to eat at times or find a food that is appetizing in general because of it. And the medication can cause constipation and dry mouth, which is inconvenient. Overall, I think it's helped me a lot in focusing on coursework and its intended purpose.""",ive struggled with adhd and depression for about half my life i started this medication around months ago i take the mg dose ive tried probably every antidepressant there is and quite a few for anxiety but this i think personally concerta has helped quite a bit in regard to both because of it ive been able to wean off my antidepressant and no longer have to take it the appetite suppressant does help me out since im working on weight loss but it can also be a struggle to eat at times or find a food that is appetizing in general because of it and the medication can cause constipation and dry mouth which is inconvenient overall i think its helped me a lot in focusing on coursework and its intended purpose,[]
36,concerta,"""Before Concerta I was labeled disruptive; unintelligent, impulsive, poor concentration etc. The worst part was that no matter how hard I tried, I always messed up, and it was never on purpose. I am often described as having 'no-filter' between my head and mouth. Now, with Concerta, I am able to 'filter' information correctly. I have control with what I say, and I can concentrate when I need to. This is, however, no miracle - I have bad days. Like anyone, my cognition suffers if I haven't had enough sleep, etc. Concerta only gives one control of their actions and organizes things in your head a bit better - something I had been long without. Please consider the facts provided by health professionals.""",before concerta i was labeled disruptive unintelligent impulsive poor concentration etc the worst part was that no matter how hard i tried i always messed up and it was never on purpose i am often described as having no filter between my head and mouth now with concerta i am able to filter information correctly i have control with what i say and i can concentrate when i need to this is however no miracle i have bad days like anyone my cognition suffers if i havent had enough sleep etc concerta only gives one control of their actions and organizes things in your head a bit better something i had been long without please consider the facts provided by health professionals,['drug ineffective']
38,concerta,"""My experience with Concerta has been amazing. I am 12 and this has helped me deal with bullying, anger issues, and lack of focus. I have learned that just because you are ADHD does not mean you can't have a normal life. I recommend this to anybody who is ashamed by their weight, has trouble focusing, and has anxiety issues but make sure to eat regularly because Concerta makes it so you don't know if you are hungry or not.""",my experience with concerta has been amazing i am and this has helped me deal with bullying anger issues and lack of focus i have learned that just because you are adhd does not mean you cant have a normal life i recommend this to anybody who is ashamed by their weight has trouble focusing and has anxiety issues but make sure to eat regularly because concerta makes it so you dont know if you are hungry or not,[]
43,concerta,"""I have been taking this for 10 years (started at 18 mg, went up to 36 mg). Recently (several months ago), I developed several horrible side effects. For example, it made me feel nervous. I could not keep still. It also made me extra irritable (to the point I was yelling at my friends for the littlest things). I also felt depressed (to the point I did not want to get out of bed at all) and could not sleep. The doctor brought me down to 18 mg, symptoms did not improve. I immediately stopped taking this and felt 100% better the next day. The doctor put me on Adderall XR, which works a lot better with very little side effects. Please avoid Concerta if possible.""",i have been taking this for years started at mg went up to mg recently several months ago i developed several horrible side effects for example it made me feel nervous i could not keep still it also made me extra irritable to the point i was yelling at my friends for the littlest things i also felt depressed to the point i did not want to get out of bed at all and could not sleep the doctor brought me down to mg symptoms did not improve i immediately stopped taking this and felt better the next day the doctor put me on adderall xr which works a lot better with very little side effects please avoid concerta if possible,[]
44,concerta,"""My daughter was finally diagnosed with ADHD Inattentive-type at age 16 after a lot of stress regarding high school academics and feeling 'dumb.' Concerta has been nothing short of a miracle for her. She finally ended up on the 54mg dosage and does very well. The only side effect she has had is loss of appetite which she now knows to eat a healthy/big breakfast before her medication in the morning. She then eats a normal dinner. She has occasionally had insomnia if she takes her medication later in the morning or if she has accidentally had caffeine. Overall, she is in a good groove with this medication and her SAT score went from 1600 to 2000 after medication and a prep course; GPA from 3.3 to 3.9.""",my daughter was finally diagnosed with adhd inattentive type at age after a lot of stress regarding high school academics and feeling dumb concerta has been nothing short of a miracle for her she finally ended up on the mg dosage and does very well the only side effect she has had is loss of appetite which she now knows to eat a healthybig breakfast before her medication in the morning she then eats a normal dinner she has occasionally had insomnia if she takes her medication later in the morning or if she has accidentally had caffeine overall she is in a good groove with this medication and her sat score went from to after medication and a prep course gpa from to,['drug ineffective']
48,concerta,"""I've been on Concerta since I was about 13 (I'm 22 now). When I first started the medication, I experienced a fair amount of weight loss. Overall, Concerta has truly changed my life and made me a more focused student. Since I've been on it for so long, I have learned to manage side effects but some that have been ongoing are: upset stomach right after taking the medication (due to the stimulant effects and lack of food), slight headaches, jitters, binging when the medication wears off, and occasional paranoia. When first beginning the medication, remember to force yourself to have some caloric intake even if it is just a smoothie. This has been life-changing, but please remember to balance out your diet.""",ive been on concerta since i was about im now when i first started the medication i experienced a fair amount of weight loss overall concerta has truly changed my life and made me a more focused student since ive been on it for so long i have learned to manage side effects but some that have been ongoing are upset stomach right after taking the medication due to the stimulant effects and lack of food slight headaches jitters binging when the medication wears off and occasional paranoia when first beginning the medication remember to force yourself to have some caloric intake even if it is just a smoothie this has been life changing but please remember to balance out your diet,['drug ineffective']
49,concerta,"""I would recommend this medication ONLY if you are 100% positive you need medication, by that I mean teachers and family recognizing the issue. My mom finally decided to give me Concerta during early middle school after my teachers advised it for a few years. I recommend beginning with 9 mg and slowly going up if needed. This medication is horrible in my life in the sense that I feel like I need it to do good in school, especially now I'm in college. But it causes me to be incredibly depressed. I continue to take it because grades are first, but for kids I recommend keeping a very close eye on them and follow up on depression issues because as a kid in middle school, it was horrible.""",i would recommend this medication only if you are positive you need medication by that i mean teachers and family recognizing the issue my mom finally decided to give me concerta during early middle school after my teachers advised it for a few years i recommend beginning with mg and slowly going up if needed this medication is horrible in my life in the sense that i feel like i need it to do good in school especially now im in college but it causes me to be incredibly depressed i continue to take it because grades are first but for kids i recommend keeping a very close eye on them and follow up on depression issues because as a kid in middle school it was horrible,[]
51,concerta,"""I'm 18 years old and have been on 18mg of Concerta for just under a year now. In the beginning, I loved it - was able to focus and was very productive with everything. Positives: my grades and work ethic excelled, accomplished a lot, confidence raised. But, it may have just been me, but after being on Concerta, I became very antisocial (the complete opposite of myself) and basically got lost in my head. I also suffer from depression and severe seasonal affective disorder, and my first winter taking the Concerta was a horrible experience. The important thing to remember with this medicine is that it is not what is making you 'smarter' or more accomplished, it is merely helping you to do these things without your ADHD holding you back.""",im years old and have been on mg of concerta for just under a year now in the beginning i loved it was able to focus and was very productive with everything positives my grades and work ethic excelled accomplished a lot confidence raised but it may have just been me but after being on concerta i became very antisocial the complete opposite of myself and basically got lost in my head i also suffer from depression and severe seasonal affective disorder and my first winter taking the concerta was a horrible experience the important thing to remember with this medicine is that it is not what is making you smarter or more accomplished it is merely helping you to do these things without your adhd holding you back,[]
57,concerta,"""So I was diagnosed with inattentive type ADHD about a month or two ago. I'm 19 and in my second year of university. I struggle to take in information in distracting settings like big lecture halls, have a tough time focusing, and my organizational skills have always been poor. So, my doctor prescribed 18 mg Concerta. I've taken it for a week so far, and I'm loving the results. I'm now always listening in lectures, always focusing on what the professor is saying. My room, car, and desk are now more organized than they have ever been, and it's stayed that way so far! Many people complain about a lack of appetite, but I haven't noticed that at all! I've noticed two minor side effects so far: headaches that start later in the day, as well as some minor irritability.""",so i was diagnosed with inattentive type adhd about a month or two ago im and in my second year of university i struggle to take in information in distracting settings like big lecture halls have a tough time focusing and my organizational skills have always been poor so my doctor prescribed mg concerta ive taken it for a week so far and im loving the results im now always listening in lectures always focusing on what the professor is saying my room car and desk are now more organized than they have ever been and its stayed that way so far many people complain about a lack of appetite but i havent noticed that at all ive noticed two minor side effects so far headaches that start later in the day as well as some minor irritability,[]
59,concerta,"""My daughter was diagnosed with ADHD in the 2nd grade, and her doctor and I discussed different medications and settled on Concerta. Grades were never a problem, but behavior and socialization were. She hated the medication and would spit it out or hide it. It gave her headaches, loss of appetite, and sleep loss. Eventually, she began taking it regularly and began to do well in school. The behavior problems ceased, as well as socialization. She took this medication for about 2 years, and then I decided to pull her off. Her teacher didn't even notice and thought she was still taking the medication because she was so well-adjusted and presented no serious issues. She never took meds again and learned to cope. She has ADHD but manages it other ways.""",my daughter was diagnosed with adhd in the nd grade and her doctor and i discussed different medications and settled on concerta grades were never a problem but behavior and socialization were she hated the medication and would spit it out or hide it it gave her headaches loss of appetite and sleep loss eventually she began taking it regularly and began to do well in school the behavior problems ceased as well as socialization she took this medication for about years and then i decided to pull her off her teacher didnt even notice and thought she was still taking the medication because she was so well adjusted and presented no serious issues she never took meds again and learned to cope she has adhd but manages it other ways,[]
60,concerta,"""A couple of years ago, I was diagnosed with inattentive ADHD and was first given Vyvanse. It caused me to have awful anxiety and chest pains. This turned me off to stimulants for a while. Finally, I started seeing a new doctor, and he prescribed me Concerta XL for my long days at work, and it has definitely changed my life. At first, it was for my ADHD, but it also helps with my depression. It makes me feel awake but not jittery and anxious. I feel more social and talkative (I'm very shy, and people always make comments on how I don't talk that much). I don't have as many bad days like I was having before. I still get them, but they seem to be more mild and less often. There is a slight come-down period when it is wearing off, and you can get a little bummed during this time. It's not as bad with the long-acting Concerta like it is with regular methylphenidate. I highly recommend trying these medicines.""",a couple of years ago i was diagnosed with inattentive adhd and was first given vyvanse it caused me to have awful anxiety and chest pains this turned me off to stimulants for a while finally i started seeing a new doctor and he prescribed me concerta xl for my long days at work and it has definitely changed my life at first it was for my adhd but it also helps with my depression it makes me feel awake but not jittery and anxious i feel more social and talkative im very shy and people always make comments on how i dont talk that much i dont have as many bad days like i was having before i still get them but they seem to be more mild and less often there is a slight come down period when it is wearing off and you can get a little bummed during this time its not as bad with the long acting concerta like it is with regular methylphenidate i highly recommend trying these medicines,[]
61,concerta,"""I was diagnosed with ADHD in 8th grade and put on 20mg of Concerta, which has since risen to 54mg extended release in the day and 10mg immediate release in the evening for when I do my homework. At first, the medicine was great - it allowed me to focus and my grades went up significantly. However, over the past year or so, I have been experiencing negative side effects such as depression, headaches, and loss of appetite. I can manage the headaches and appetite problems, but as for the depression, it is so bad that I am considering switching to another brand or changing my dose because when I am on Concerta, I become virtually emotionless, and as a result, I am struggling to maintain good relationships with my friends and family members.""",i was diagnosed with adhd in th grade and put on mg of concerta which has since risen to mg extended release in the day and mg immediate release in the evening for when i do my homework at first the medicine was great it allowed me to focus and my grades went up significantly however over the past year or so i have been experiencing negative side effects such as depression headaches and loss of appetite i can manage the headaches and appetite problems but as for the depression it is so bad that i am considering switching to another brand or changing my dose because when i am on concerta i become virtually emotionless and as a result i am struggling to maintain good relationships with my friends and family members,[]
63,concerta,"""It makes me depressed. Yes, it helps me focus, and it helps me with my school work, but when I am on Concerta, I am 100% emotionless and it is the worst feeling I have ever experienced. Constant depression until it wears off later in the night time.""",it makes me depressed yes it helps me focus and it helps me with my school work but when i am on concerta i am emotionless and it is the worst feeling i have ever experienced constant depression until it wears off later in the night time,['drug ineffective']
64,concerta,"""I have always known my son had ADD. But I thought since he was learning and producing work, we could just teach him strategies to focus. He blended in well and behaved well but was always in outer space, thinking of everything but school work. When he started Middle School, work production became a new challenge. We had over 3 hours of unfinished classwork every night plus homework. Teachers said it was doable to complete in class, and most did. The work wasn't hard, so I agreed. We finally decided to try Concerta. Within 2 days, we went from 3 hours of unfinished classwork and missing assignments to no homework, no missing work, and all A's. My son said, 'I did not know this is how normal brains feel.' It was the best decision I ever made. My only regret is allowing him to suffer and think he was dumb for so long.""",i have always known my son had add but i thought since he was learning and producing work we could just teach him strategies to focus he blended in well and behaved well but was always in outer space thinking of everything but school work when he started middle school work production became a new challenge we had over hours of unfinished classwork every night plus homework teachers said it was doable to complete in class and most did the work wasnt hard so i agreed we finally decided to try concerta within days we went from hours of unfinished classwork and missing assignments to no homework no missing work and all as my son said i did not know this is how normal brains feel it was the best decision i ever made my only regret is allowing him to suffer and think he was dumb for so long,[]
65,concerta,"""I am on 27 mg Concerta. Never felt better. I have better grades because of better concentration. No anxiety or suicidal thoughts. I guess I have too much to keep me alive, that I have never had those thoughts. The only side effect seems to be slight insomnia, but I would prefer better grades over sleep.""",i am on mg concerta never felt better i have better grades because of better concentration no anxiety or suicidal thoughts i guess i have too much to keep me alive that i have never had those thoughts the only side effect seems to be slight insomnia but i would prefer better grades over sleep,['drug ineffective']
67,concerta,"""It should be labeled that this gives you severe depression and suicidal episodes for the price of placebo
Nothing but placebo for my ADHD
Didn’t helped a single bit, except giving me a suicidal thoughts and really bad depression. Please for the sake of your well being do not take this, I repeat, do not take this""",it should be labeled that this gives you severe depression and suicidal episodes for the price of placebo nothing but placebo for my adhd didnt helped a single bit except giving me a suicidal thoughts and really bad depression please for the sake of your well being do not take this i repeat do not take this,['drug ineffective']
69,concerta,"""When I first took Concerta, I was more able to concentrate on hard tasks, such as writing and doing math calculations. When I stopped taking this medication, I was unable to pay attention in class and kept misplacing flash drives and pencils. Plus, I've got a bunch of D's and F's on essay assignments because I've been leaving ADD untreated for six months. Concerta helped me concentrate, but it didn't make me too jittery or unfocused, and it feels just right. When I came back to the medication after six months of not taking it, I've had the best school days I've ever had in my life. This medication works, no nonsense, just don't drink too much coffee or energy drinks if you don't want a fast or irregular heartbeat.""",when i first took concerta i was more able to concentrate on hard tasks such as writing and doing math calculations when i stopped taking this medication i was unable to pay attention in class and kept misplacing flash drives and pencils plus ive got a bunch of ds and fs on essay assignments because ive been leaving add untreated for six months concerta helped me concentrate but it didnt make me too jittery or unfocused and it feels just right when i came back to the medication after six months of not taking it ive had the best school days ive ever had in my life this medication works no nonsense just dont drink too much coffee or energy drinks if you dont want a fast or irregular heartbeat,[]
80,concerta,"""I'm 19, and I've been on Concerta since age 7. It has helped me, no doubt. I have never had any problems, as people say about stomach problems, I have never had any. The only thing is I keep eating the complete opposite of everyone else. I usually take it at 9 am every day, and I notice it wearing off around 6 pm. Yesterday, I didn't take it because I tried something. I'm currently working night shifts, usually, it's been out of my system hours before starting work. So tonight, I took it at 9 pm, even though now it's 4:30 am, and I've been awake since 7 am yesterday. I neither show nor feel any signs of being tired or drained, both physically and mentally. This medication has been nothing but a success for me.""",im and ive been on concerta since age it has helped me no doubt i have never had any problems as people say about stomach problems i have never had any the only thing is i keep eating the complete opposite of everyone else i usually take it at am every day and i notice it wearing off around pm yesterday i didnt take it because i tried something im currently working night shifts usually its been out of my system hours before starting work so tonight i took it at pm even though now its am and ive been awake since am yesterday i neither show nor feel any signs of being tired or drained both physically and mentally this medication has been nothing but a success for me,[]
82,concerta,"""This is not the drug for everyone. I was absolutely miserable on Concerta. I was restless, anxious, needy, fidgety, irritable, and depressed. My psychiatric practitioner attempted to cure these symptoms by prescribing higher doses. I eventually had a meltdown. As soon as I stopped, it was like I was instantly better. I know this drug works wonders for some people, but please be careful.""",this is not the drug for everyone i was absolutely miserable on concerta i was restless anxious needy fidgety irritable and depressed my psychiatric practitioner attempted to cure these symptoms by prescribing higher doses i eventually had a meltdown as soon as i stopped it was like i was instantly better i know this drug works wonders for some people but please be careful,['drug ineffective']
83,concerta,"""Concerta may work for some people, but it actually screws up. (I’m a minor and can’t make myself talk to my parents - partially because of the drug). Although it has proven to “work” for me, this stupid drug makes me feel like a walking corpse. I feel usually numb throughout the day and have an emotional crash at home. I can never think of anything to say, I trail off in the middle of answering things. I have no appetite to the point at which the thought of food makes me feel nauseous. I randomly get extremely nervous, my insomnia has gotten worse, I have really shaky muscles, I have tics, I have increased symptoms of severe depression and social anxiety. When it wears off, I feel awful and mean, and if I skip a single day, then I feel really sick. I don’t recommend this drug.""",concerta may work for some people but it actually screws up im a minor and cant make myself talk to my parents partially because of the drug although it has proven to work for me this stupid drug makes me feel like a walking corpse i feel usually numb throughout the day and have an emotional crash at home i can never think of anything to say i trail off in the middle of answering things i have no appetite to the point at which the thought of food makes me feel nauseous i randomly get extremely nervous my insomnia has gotten worse i have really shaky muscles i have tics i have increased symptoms of severe depression and social anxiety when it wears off i feel awful and mean and if i skip a single day then i feel really sick i dont recommend this drug,[]
85,concerta,"""I was diagnosed with mixed-type ADHD at 25, far later than most. I started at 18 mg and have been slowly bumped up to 36 mg. Overall, my working/short-term memory, energy levels, and mood have improved moderately. Unfortunately, I somehow burn through the medication in less than 6 hours and crash halfway through work almost every day. This drug has helped a lot, but it isn't perfect for my brain chemistry.""",i was diagnosed with mixed type adhd at far later than most i started at mg and have been slowly bumped up to mg overall my workingshort term memory energy levels and mood have improved moderately unfortunately i somehow burn through the medication in less than hours and crash halfway through work almost every day this drug has helped a lot but it isnt perfect for my brain chemistry,['drug ineffective']
86,concerta,"""I've been taking Concerta for 3 years now, and I'm 18. I started out with 18 mg and slowly went up to 54 mg. My grades went from really low to average in weeks, but the side effects are really crappy. I have trouble sleeping at night, and I feel things that aren't there. I also have a big loss of appetite and have to force myself to eat sometimes. I have days where I get really depressed to the point that I don't want to get out of bed and do anything. I also feel really anxious and on edge, and I start scratching/picking at my skin, which gave me scars all over my back. I thought about it and went off the pill, and my grades suddenly dropped again. The pill really does help with focus and motivation, but the side effects are really tough!!!""",ive been taking concerta for years now and im i started out with mg and slowly went up to mg my grades went from really low to average in weeks but the side effects are really crappy i have trouble sleeping at night and i feel things that arent there i also have a big loss of appetite and have to force myself to eat sometimes i have days where i get really depressed to the point that i dont want to get out of bed and do anything i also feel really anxious and on edge and i start scratchingpicking at my skin which gave me scars all over my back i thought about it and went off the pill and my grades suddenly dropped again the pill really does help with focus and motivation but the side effects are really tough,[]
90,concerta,"""Concerta did absolutely nothing for me. Started on 18 mg, no effect, but this was expected because it's a low dose. Went up to 36 mg, no effect. Tried 54 mg as a last resort, no change at all. This medication is supposed to be a stimulant, but honestly, I could take 54 mg before bed and sleep for 10 hours. Even my blood pressure and appetite stayed the same, no matter how high the dose was. I think I'm a non-responder. Looking to switch to Vyvanse after this month's supply finishes.""",concerta did absolutely nothing for me started on mg no effect but this was expected because its a low dose went up to mg no effect tried mg as a last resort no change at all this medication is supposed to be a stimulant but honestly i could take mg before bed and sleep for hours even my blood pressure and appetite stayed the same no matter how high the dose was i think im a non responder looking to switch to vyvanse after this months supply finishes,['drug ineffective']
